,pob_x,pob_y,pob_x_best,pob_y_best
0,"[1.56171e+01 5.15170e+00 2.70903e+01 ... 1.24000e-02 3.79000e-02
 3.99000e-02]",357129418.2772767,"[1.56171e+01 5.15170e+00 2.70903e+01 ... 1.24000e-02 3.79000e-02
 3.99000e-02]",357129418.2772767
1,"[1.6579399e+01 5.7325001e+00 2.5851999e+01 ... 1.7700000e-02 2.9700002e-02
 3.8000003e-02]",942.9872663748531,"[1.6579399e+01 5.7325001e+00 2.5851999e+01 ... 1.7700000e-02 2.9700002e-02
 3.8000003e-02]",942.9872663748531
2,"[1.8265499e+01 6.7502003e+00 2.3682400e+01 ... 2.6999999e-02 1.5200002e-02
 3.4700003e-02]",785.8763364436084,"[1.8265499e+01 6.7502003e+00 2.3682400e+01 ... 2.6999999e-02 1.5200002e-02
 3.4700003e-02]",785.8763364436084
3,"[1.9774599e+01 7.6611004e+00 2.1740499e+01 ... 3.5299998e-02 4.9999999e-03
 3.1700004e-02]",750.1467199173502,"[1.9774599e+01 7.6611004e+00 2.1740499e+01 ... 3.5299998e-02 4.9999999e-03
 3.1700004e-02]",750.1467199173502
4,"[2.1121599e+01 8.4741001e+00 2.0007200e+01 ... 4.2699996e-02 4.9999999e-03
 2.9000005e-02]",744.6099461937349,"[2.1121599e+01 8.4741001e+00 2.0007200e+01 ... 4.2699996e-02 4.9999999e-03
 2.9000005e-02]",744.6099461937349
5,"[2.2320599e+01 9.1977997e+00 1.8464399e+01 ... 4.9299996e-02 4.9999999e-03
 2.6600005e-02]",712.0877138616004,"[2.2320599e+01 9.1977997e+00 1.8464399e+01 ... 4.9299996e-02 4.9999999e-03
 2.6600005e-02]",712.0877138616004
6,"[2.3384899e+01 9.8401995e+00 1.7094999e+01 ... 5.0000001e-02 4.9999999e-03
 2.4500005e-02]",655.8456480526669,"[2.3384899e+01 9.8401995e+00 1.7094999e+01 ... 5.0000001e-02 4.9999999e-03
 2.4500005e-02]",655.8456480526669
7,"[2.4327000e+01 1.0408799e+01 1.5882899e+01 ... 5.0000001e-02 4.9999999e-03
 2.2600004e-02]",636.0965283242845,"[2.4327000e+01 1.0408799e+01 1.5882899e+01 ... 5.0000001e-02 4.9999999e-03
 2.2600004e-02]",636.0965283242845
8,"[2.5158600e+01 1.0910699e+01 1.4813000e+01 ... 5.0000001e-02 4.9999999e-03
 2.0900004e-02]",663.4000144333291,"[2.4327000e+01 1.0408799e+01 1.5882899e+01 ... 5.0000001e-02 4.9999999e-03
 2.2600004e-02]",636.0965283242845
9,"[2.6161800e+01 1.1514899e+01 1.3512099e+01 ... 5.0000001e-02 4.9999999e-03
 1.9700004e-02]",606.0246874776658,"[2.6161800e+01 1.1514899e+01 1.3512099e+01 ... 5.0000001e-02 4.9999999e-03
 1.9700004e-02]",606.0246874776658
10,"[2.7211201e+01 1.2081299e+01 1.2759199e+01 ... 5.0000001e-02 4.9999999e-03
 1.8700004e-02]",627.0470385770334,"[2.6161800e+01 1.1514899e+01 1.3512099e+01 ... 5.0000001e-02 4.9999999e-03
 1.9700004e-02]",606.0246874776658
11,"[2.8629101e+01 1.3300199e+01 1.1074399e+01 ... 5.0000001e-02 4.9999999e-03
 1.7700003e-02]",589.3902731207069,"[2.8629101e+01 1.3300199e+01 1.1074399e+01 ... 5.0000001e-02 4.9999999e-03
 1.7700003e-02]",589.3902731207069
12,"[3.0000000e+01 1.5856898e+01 8.0995989e+00 ... 5.0000001e-02 4.9999999e-03
 1.6700003e-02]",595.6493807216555,"[2.8629101e+01 1.3300199e+01 1.1074399e+01 ... 5.0000001e-02 4.9999999e-03
 1.7700003e-02]",589.3902731207069
13,"[3.0000000e+01 1.7886898e+01 5.7829990e+00 ... 5.0000001e-02 4.9999999e-03
 1.6000003e-02]",556.1719664136447,"[3.0000000e+01 1.7886898e+01 5.7829990e+00 ... 5.0000001e-02 4.9999999e-03
 1.6000003e-02]",556.1719664136447
14,"[3.0000000e+01 1.9525599e+01 4.9661989e+00 ... 5.0000001e-02 4.9999999e-03
 1.4500002e-02]",551.4101167326228,"[3.0000000e+01 1.9525599e+01 4.9661989e+00 ... 5.0000001e-02 4.9999999e-03
 1.4500002e-02]",551.4101167326228
15,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
16,"[3.0000000e+01 2.1079897e+01 3.2294989e+00 ... 5.0000001e-02 4.9999999e-03
 1.2900002e-02]",564.7772662450949,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
17,"[3.0000000e+01 2.0713997e+01 4.4768987e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.6477853836036,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
18,"[3.0000000e+01 2.0027996e+01 5.4761987e+00 ... 5.0000001e-02 4.9999999e-03
 1.4300002e-02]",569.1696715824746,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
19,"[3.0000000e+01 1.9567495e+01 5.7492986e+00 ... 5.0000001e-02 4.9999999e-03
 1.4800002e-02]",548.5645265182453,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
20,"[3.0000000e+01 1.9206495e+01 6.6006985e+00 ... 5.0000001e-02 4.9999999e-03
 1.5400002e-02]",553.6101056501923,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
21,"[3.0000000e+01 1.9488995e+01 6.4702983e+00 ... 5.0000001e-02 4.9999999e-03
 1.5100001e-02]",554.5564213164137,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
22,"[3.0000000e+01 2.0185095e+01 5.3295984e+00 ... 5.0000001e-02 4.9999999e-03
 1.4200001e-02]",548.416483652295,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
23,"[3.0000000e+01 2.0376995e+01 5.1867986e+00 ... 5.0000001e-02 4.9999999e-03
 1.4000001e-02]",557.1834579462326,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
24,"[3.0000000e+01 2.0560495e+01 4.3043985e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500001e-02]",574.2649371011718,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
25,"[3.0000000e+01 1.9875195e+01 4.9683986e+00 ... 5.0000001e-02 4.9999999e-03
 1.4100001e-02]",581.0260330960292,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
26,"[3.0000000e+01 1.9186094e+01 5.9552984e+00 ... 5.0000001e-02 4.9999999e-03
 1.4900001e-02]",568.1662944115926,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
27,"[3.0000000e+01 1.9697994e+01 5.3717985e+00 ... 5.0000001e-02 4.9999999e-03
 1.4600000e-02]",577.513217419438,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
28,"[3.0000000e+01 1.9973394e+01 5.4562984e+00 ... 5.0000001e-02 4.9999999e-03
 1.4600000e-02]",552.8121701748398,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
29,"[3.0000000e+01 2.0258095e+01 4.9699984e+00 ... 5.0000001e-02 4.9999999e-03
 1.4200000e-02]",598.9605429134671,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
30,"[3.0000000e+01 2.0474394e+01 4.3031983e+00 ... 5.0000001e-02 4.9999999e-03
 1.3800000e-02]",565.7087133308014,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
31,"[3.0000000e+01 1.9987494e+01 5.0029984e+00 ... 5.0000001e-02 4.9999999e-03
 1.4200000e-02]",552.1302014143533,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
32,"[3.00000000e+01 1.95263939e+01 5.62879848e+00 ... 5.00000007e-02
 4.99999989e-03 1.45000005e-02]",553.8866709417131,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
33,"[3.0000000e+01 1.9799194e+01 5.1096983e+00 ... 5.0000001e-02 4.9999999e-03
 1.4100000e-02]",551.9365569399775,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
34,"[3.0000000e+01 2.0270695e+01 4.2068982e+00 ... 5.0000001e-02 4.9999999e-03
 1.3600000e-02]",549.0386584941922,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
35,"[3.0000000e+01 2.0355495e+01 4.2209983e+00 ... 5.0000001e-02 4.9999999e-03
 1.3700000e-02]",548.9620707471134,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
36,"[3.0000000e+01 1.9794395e+01 5.6277981e+00 ... 5.0000001e-02 4.9999999e-03
 1.4600000e-02]",560.6641922780624,"[3.0000000e+01 2.0461098e+01 3.6984990e+00 ... 5.0000001e-02 4.9999999e-03
 1.3500002e-02]",548.1665480608718
