,pob_x,pob_y,pob_x_best,pob_y_best
0,"[1.27678e+01 2.66731e+01 7.37270e+00 ... 1.52000e-02 4.93000e-02
 3.72000e-02]",967.6298805991157,"[1.27678e+01 2.66731e+01 7.37270e+00 ... 1.52000e-02 4.93000e-02
 3.72000e-02]",967.6298805991157
1,[16.7794   14.673499 19.372301 ...  0.0235    0.0313    0.0354  ],59386900.697509736,"[1.27678e+01 2.66731e+01 7.37270e+00 ... 1.52000e-02 4.93000e-02
 3.72000e-02]",967.6298805991157
2,"[1.8270700e+01 9.5455990e+00 2.3859301e+01 ... 2.6500002e-02 2.2900000e-02
 3.4800000e-02]",862.4797338313291,"[1.8270700e+01 9.5455990e+00 2.3859301e+01 ... 2.6500002e-02 2.2900000e-02
 3.4800000e-02]",862.4797338313291
3,"[1.96049004e+01 4.61329889e+00 2.78537006e+01 ... 2.93000024e-02
 1.45000005e-02 3.42999995e-02]",835.1901832186173,"[1.96049004e+01 4.61329889e+00 2.78537006e+01 ... 2.93000024e-02
 1.45000005e-02 3.42999995e-02]",835.1901832186173
4,"[2.0810501e+01 4.7419891e-01 3.0000000e+01 ... 3.2300003e-02 6.2000006e-03
 3.3700000e-02]",816.304447672477,"[2.0810501e+01 4.7419891e-01 3.0000000e+01 ... 3.2300003e-02 6.2000006e-03
 3.3700000e-02]",816.304447672477
5,"[2.2125702e+01 3.0151989e+00 2.4927299e+01 ... 4.3100003e-02 4.9999999e-03
 2.9500000e-02]",742.4504723339993,"[2.2125702e+01 3.0151989e+00 2.4927299e+01 ... 4.3100003e-02 4.9999999e-03
 2.9500000e-02]",742.4504723339993
6,"[2.3387402e+01 8.2630987e+00 1.7296700e+01 ... 5.0000001e-02 4.9999999e-03
 2.4400000e-02]",4222569.967690035,"[2.2125702e+01 3.0151989e+00 2.4927299e+01 ... 4.3100003e-02 4.9999999e-03
 2.9500000e-02]",742.4504723339993
7,"[2.4083702e+01 1.0320799e+01 1.5116300e+01 ... 5.0000001e-02 4.9999999e-03
 2.2499999e-02]",637.4650270139883,"[2.4083702e+01 1.0320799e+01 1.5116300e+01 ... 5.0000001e-02 4.9999999e-03
 2.2499999e-02]",637.4650270139883
8,"[2.5686502e+01 1.2698599e+01 1.2536300e+01 ... 5.0000001e-02 4.9999999e-03
 1.9800000e-02]",610.4029221788268,"[2.5686502e+01 1.2698599e+01 1.2536300e+01 ... 5.0000001e-02 4.9999999e-03
 1.9800000e-02]",610.4029221788268
9,"[2.7830603e+01 1.4729799e+01 1.1933800e+01 ... 5.0000001e-02 4.9999999e-03
 1.7800000e-02]",585.8647415754014,"[2.7830603e+01 1.4729799e+01 1.1933800e+01 ... 5.0000001e-02 4.9999999e-03
 1.7800000e-02]",585.8647415754014
10,"[2.9721703e+01 1.6505499e+01 1.1438399e+01 ... 5.0000001e-02 4.9999999e-03
 1.5999999e-02]",617.9822534518881,"[2.7830603e+01 1.4729799e+01 1.1933800e+01 ... 5.0000001e-02 4.9999999e-03
 1.7800000e-02]",585.8647415754014
11,"[3.0000000e+01 1.7507599e+01 9.6131992e+00 ... 5.0000001e-02 4.9999999e-03
 1.5699999e-02]",566.0449432660263,"[3.0000000e+01 1.7507599e+01 9.6131992e+00 ... 5.0000001e-02 4.9999999e-03
 1.5699999e-02]",566.0449432660263
12,"[3.0000000e+01 1.8207899e+01 6.8035994e+00 ... 5.0000001e-02 4.9999999e-03
 1.6300000e-02]",556.005097857416,"[3.0000000e+01 1.8207899e+01 6.8035994e+00 ... 5.0000001e-02 4.9999999e-03
 1.6300000e-02]",556.005097857416
13,"[3.0000000e+01 1.8817400e+01 4.3583994e+00 ... 5.0000001e-02 4.9999999e-03
 1.6799999e-02]",552.4578159698293,"[3.0000000e+01 1.8817400e+01 4.3583994e+00 ... 5.0000001e-02 4.9999999e-03
 1.6799999e-02]",552.4578159698293
14,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
15,"[3.0000000e+01 1.9887999e+01 3.0171995e+00 ... 5.0000001e-02 4.9999999e-03
 1.6199999e-02]",549.683143899396,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
16,"[3.0000000e+01 1.9838799e+01 5.6111994e+00 ... 5.0000001e-02 4.9999999e-03
 1.5199998e-02]",568.5069741773724,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
17,"[3.000000e+01 1.929230e+01 5.576999e+00 ... 5.000000e-02 5.000000e-03
 1.580000e-02]",580.5063722766675,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
18,"[3.0000000e+01 1.8893700e+01 5.4043994e+00 ... 5.0000001e-02 4.9999999e-03
 1.6299998e-02]",551.4067900504912,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
19,"[3.0000000e+01 1.8733799e+01 5.3086996e+00 ... 5.0000001e-02 4.9999999e-03
 1.6499998e-02]",551.2522905865001,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
20,"[3.0000000e+01 1.9112499e+01 5.5846996e+00 ... 5.0000001e-02 4.9999999e-03
 1.6099999e-02]",552.785761276595,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
21,"[3.0000000e+01 1.9630098e+01 3.5678997e+00 ... 5.0000001e-02 4.9999999e-03
 1.6499998e-02]",550.6194875234868,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
22,"[3.0000000e+01 1.9892797e+01 2.7311997e+00 ... 5.0000001e-02 4.9999999e-03
 1.6399998e-02]",550.3367772674999,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
23,"[3.0000000e+01 1.9978298e+01 3.7018998e+00 ... 5.0000001e-02 4.9999999e-03
 1.5699998e-02]",552.1283107364063,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
24,"[3.0000000e+01 1.9270498e+01 5.6488996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5299997e-02]",567.1437562843305,"[3.0000000e+01 1.9296700e+01 2.1705995e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199999e-02]",545.923380854132
