,pob_x,pob_y,pob_x_best,pob_y_best
0,"[3.28180e+00 1.09374e+01 4.38570e+00 ... 1.92000e-02 1.31000e-02
 8.10000e-03]",229057656.79643315,"[3.28180e+00 1.09374e+01 4.38570e+00 ... 1.92000e-02 1.31000e-02
 8.10000e-03]",229057656.79643315
1,"[4.3905001e+00 1.0623300e+01 5.8261003e+00 ... 1.9700000e-02 1.3300000e-02
 1.0100001e-02]",961.9440408468146,"[4.3905001e+00 1.0623300e+01 5.8261003e+00 ... 1.9700000e-02 1.3300000e-02
 1.0100001e-02]",961.9440408468146
2,[ 7.7189    9.6803   10.150101 ...  0.0212    0.0139    0.0161  ],9758839.122772157,"[4.3905001e+00 1.0623300e+01 5.8261003e+00 ... 1.9700000e-02 1.3300000e-02
 1.0100001e-02]",961.9440408468146
3,"[1.62929001e+01 7.28489971e+00 2.11904011e+01 ... 2.56999992e-02
 1.50999995e-02 3.13000008e-02]",856.4791158433675,"[1.62929001e+01 7.28489971e+00 2.11904011e+01 ... 2.56999992e-02
 1.50999995e-02 3.13000008e-02]",856.4791158433675
4,"[2.4852200e+01 5.2446995e+00 3.0000000e+01 ... 3.2199997e-02 1.3599999e-02
 4.5000002e-02]",809.0665897842439,"[2.4852200e+01 5.2446995e+00 3.0000000e+01 ... 3.2199997e-02 1.3599999e-02
 4.5000002e-02]",809.0665897842439
5,"[3.0000000e+01 4.5723996e+00 3.0000000e+01 ... 4.1699998e-02 9.2999991e-03
 5.0000001e-02]",771.911145839093,"[3.0000000e+01 4.5723996e+00 3.0000000e+01 ... 4.1699998e-02 9.2999991e-03
 5.0000001e-02]",771.911145839093
6,"[3.00000e+01 7.10100e+00 2.69631e+01 ... 5.00000e-02 5.00000e-03
 4.00000e-02]",645.0609989624646,"[3.00000e+01 7.10100e+00 2.69631e+01 ... 5.00000e-02 5.00000e-03
 4.00000e-02]",645.0609989624646
7,[3.0000e+01 9.3392e+00 2.4275e+01 ... 5.0000e-02 5.0000e-03 3.1100e-02],621.4123401979599,[3.0000e+01 9.3392e+00 2.4275e+01 ... 5.0000e-02 5.0000e-03 3.1100e-02],621.4123401979599
8,"[3.00000e+01 1.13148e+01 2.19023e+01 ... 5.00000e-02 5.00000e-03
 2.32000e-02]",578.8293142341626,"[3.00000e+01 1.13148e+01 2.19023e+01 ... 5.00000e-02 5.00000e-03
 2.32000e-02]",578.8293142341626
9,"[3.00000e+01 1.30537e+01 1.98139e+01 ... 5.00000e-02 5.00000e-03
 1.62000e-02]",572.0188661839445,"[3.00000e+01 1.30537e+01 1.98139e+01 ... 5.00000e-02 5.00000e-03
 1.62000e-02]",572.0188661839445
10,"[3.0000000e+01 1.4580001e+01 1.7980900e+01 ... 5.0000001e-02 4.9999999e-03
 1.0100001e-02]",590.7997791432672,"[3.00000e+01 1.30537e+01 1.98139e+01 ... 5.00000e-02 5.00000e-03
 1.62000e-02]",572.0188661839445
11,"[3.0000000e+01 1.5919801e+01 1.5339100e+01 ... 5.0000001e-02 4.9999999e-03
 6.2000006e-03]",571.3908353643964,"[3.0000000e+01 1.5919801e+01 1.5339100e+01 ... 5.0000001e-02 4.9999999e-03
 6.2000006e-03]",571.3908353643964
12,"[3.0000000e+01 1.7337101e+01 1.1402600e+01 ... 5.0000001e-02 4.9999999e-03
 5.0000008e-03]",585.6267074683193,"[3.0000000e+01 1.5919801e+01 1.5339100e+01 ... 5.0000001e-02 4.9999999e-03
 6.2000006e-03]",571.3908353643964
13,"[3.0000000e+01 1.7808802e+01 1.0053300e+01 ... 5.0000001e-02 4.9999999e-03
 4.9999999e-03]",567.2865989338964,"[3.0000000e+01 1.7808802e+01 1.0053300e+01 ... 5.0000001e-02 4.9999999e-03
 4.9999999e-03]",567.2865989338964
14,"[3.0000000e+01 1.8199602e+01 8.4328995e+00 ... 5.0000001e-02 4.9999999e-03
 5.2999998e-03]",565.3414903140717,"[3.0000000e+01 1.8199602e+01 8.4328995e+00 ... 5.0000001e-02 4.9999999e-03
 5.2999998e-03]",565.3414903140717
15,"[3.0000000e+01 1.8574802e+01 6.9819994e+00 ... 5.0000001e-02 4.9999999e-03
 5.8999998e-03]",575.0385989260158,"[3.0000000e+01 1.8199602e+01 8.4328995e+00 ... 5.0000001e-02 4.9999999e-03
 5.2999998e-03]",565.3414903140717
16,"[3.0000000e+01 1.9003902e+01 6.4083996e+00 ... 5.0000001e-02 4.9999999e-03
 8.8999998e-03]",558.9171209984794,"[3.0000000e+01 1.9003902e+01 6.4083996e+00 ... 5.0000001e-02 4.9999999e-03
 8.8999998e-03]",558.9171209984794
17,"[3.0000000e+01 1.9685102e+01 6.0239997e+00 ... 5.0000001e-02 4.9999999e-03
 1.4800000e-02]",572.8336023906445,"[3.0000000e+01 1.9003902e+01 6.4083996e+00 ... 5.0000001e-02 4.9999999e-03
 8.8999998e-03]",558.9171209984794
18,"[3.0000000e+01 2.0125603e+01 5.8507996e+00 ... 5.0000001e-02 4.9999999e-03
 1.8800000e-02]",552.8714934518777,"[3.0000000e+01 2.0125603e+01 5.8507996e+00 ... 5.0000001e-02 4.9999999e-03
 1.8800000e-02]",552.8714934518777
19,"[3.0000000e+01 2.0121403e+01 6.2360997e+00 ... 5.0000001e-02 4.9999999e-03
 1.9600000e-02]",553.6273896715363,"[3.0000000e+01 2.0125603e+01 5.8507996e+00 ... 5.0000001e-02 4.9999999e-03
 1.8800000e-02]",552.8714934518777
20,"[3.0000000e+01 2.0000303e+01 6.4593997e+00 ... 5.0000001e-02 4.9999999e-03
 1.8900000e-02]",554.7091423542328,"[3.0000000e+01 2.0125603e+01 5.8507996e+00 ... 5.0000001e-02 4.9999999e-03
 1.8800000e-02]",552.8714934518777
21,"[3.0000000e+01 1.9698103e+01 6.6050997e+00 ... 5.0000001e-02 4.9999999e-03
 1.6300000e-02]",568.0704641209875,"[3.0000000e+01 2.0125603e+01 5.8507996e+00 ... 5.0000001e-02 4.9999999e-03
 1.8800000e-02]",552.8714934518777
