,pob_x,pob_y,pob_x_best,pob_y_best
0,"[8.91300e+00 1.47848e+01 2.12343e+01 ... 8.20000e-03 9.90000e-03
 2.63000e-02]",190279233.52139014,"[8.91300e+00 1.47848e+01 2.12343e+01 ... 8.20000e-03 9.90000e-03
 2.63000e-02]",190279233.52139014
1,"[1.54228001e+01 9.12519932e+00 2.30093002e+01 ... 2.09999997e-02
 1.39999995e-02 3.22999991e-02]",899.6466885203419,"[1.54228001e+01 9.12519932e+00 2.30093002e+01 ... 2.09999997e-02
 1.39999995e-02 3.22999991e-02]",899.6466885203419
2,"[2.2091600e+01 3.3273993e+00 2.4827700e+01 ... 3.4100000e-02 1.8199999e-02
 3.8399998e-02]",799.3242878716329,"[2.2091600e+01 3.3273993e+00 2.4827700e+01 ... 3.4100000e-02 1.8199999e-02
 3.8399998e-02]",799.3242878716329
3,"[2.5917000e+01 5.5699255e-02 2.5813700e+01 ... 4.1800000e-02 2.0299999e-02
 4.1800000e-02]",837.7353441812605,"[2.2091600e+01 3.3273993e+00 2.4827700e+01 ... 3.4100000e-02 1.8199999e-02
 3.8399998e-02]",799.3242878716329
4,"[2.5950199e+01 8.9689928e-01 2.4901699e+01 ... 4.4100001e-02 1.5899999e-02
 4.0100001e-02]",518958.93095899414,"[2.2091600e+01 3.3273993e+00 2.4827700e+01 ... 3.4100000e-02 1.8199999e-02
 3.8399998e-02]",799.3242878716329
5,"[2.3122099e+01 3.6844993e+00 2.3782398e+01 ... 3.9300002e-02 1.2999999e-02
 3.6900003e-02]",810.9323274725953,"[2.2091600e+01 3.3273993e+00 2.4827700e+01 ... 3.4100000e-02 1.8199999e-02
 3.8399998e-02]",799.3242878716329
6,"[1.9853199e+01 8.2706995e+00 2.1044199e+01 ... 3.6900003e-02 9.2999991e-03
 3.0500002e-02]",766.97178454475,"[1.9853199e+01 8.2706995e+00 2.1044199e+01 ... 3.6900003e-02 9.2999991e-03
 3.0500002e-02]",766.97178454475
7,"[1.7585299e+01 1.2629199e+01 1.7898699e+01 ... 3.6600001e-02 5.3999992e-03
 2.3700003e-02]",686.064808818558,"[1.7585299e+01 1.2629199e+01 1.7898699e+01 ... 3.6600001e-02 5.3999992e-03
 2.3700003e-02]",686.064808818558
8,"[1.6084599e+01 1.6394699e+01 1.4883199e+01 ... 3.7100002e-02 4.9999999e-03
 1.7500002e-02]",640.0007739418058,"[1.6084599e+01 1.6394699e+01 1.4883199e+01 ... 3.7100002e-02 4.9999999e-03
 1.7500002e-02]",640.0007739418058
9,"[2.1667999e+01 1.7695000e+01 1.5933899e+01 ... 4.3900002e-02 4.9999999e-03
 1.4400002e-02]",581.2892983530298,"[2.1667999e+01 1.7695000e+01 1.5933899e+01 ... 4.3900002e-02 4.9999999e-03
 1.4400002e-02]",581.2892983530298
10,"[3.0000000e+01 1.7926001e+01 1.3327499e+01 ... 5.0000001e-02 4.9999999e-03
 1.3300002e-02]",561.7139111389079,"[3.0000000e+01 1.7926001e+01 1.3327499e+01 ... 5.0000001e-02 4.9999999e-03
 1.3300002e-02]",561.7139111389079
11,"[3.0000000e+01 1.7699001e+01 7.6060996e+00 ... 5.0000001e-02 4.9999999e-03
 1.4600001e-02]",552.2829461256257,"[3.0000000e+01 1.7699001e+01 7.6060996e+00 ... 5.0000001e-02 4.9999999e-03
 1.4600001e-02]",552.2829461256257
12,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
13,"[3.0000000e+01 1.7328503e+01 1.0000000e-03 ... 5.0000001e-02 4.9999999e-03
 1.6700001e-02]",567.9974204830686,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
14,"[3.0000000e+01 1.8906303e+01 2.0172000e+00 ... 5.0000001e-02 4.9999999e-03
 1.6100001e-02]",547.8274858287293,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
15,"[3.0000000e+01 2.0315104e+01 5.3118000e+00 ... 5.0000001e-02 4.9999999e-03
 1.5300001e-02]",574.026301115103,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
16,"[3.0000000e+01 2.1248404e+01 8.3915005e+00 ... 5.0000001e-02 4.9999999e-03
 1.4500001e-02]",552.52155606909,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
17,"[3.0000000e+01 2.0174103e+01 8.5276003e+00 ... 5.0000001e-02 4.9999999e-03
 1.4400002e-02]",551.010849586318,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
18,"[3.0000000e+01 1.8767702e+01 7.3149004e+00 ... 5.0000001e-02 4.9999999e-03
 1.4700002e-02]",556.1916911576075,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
19,"[3.0000000e+01 1.7619802e+01 3.5894003e+00 ... 5.0000001e-02 4.9999999e-03
 1.5800003e-02]",551.95478782,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
20,"[3.0000000e+01 1.7814503e+01 1.9497002e+00 ... 5.0000001e-02 4.9999999e-03
 1.6300002e-02]",548.8856706816618,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
21,"[3.0000000e+01 1.8428402e+01 2.5042002e+00 ... 5.0000001e-02 4.9999999e-03
 1.6000003e-02]",567.043295316736,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
22,"[3.0000000e+01 1.9144102e+01 5.2299004e+00 ... 5.0000001e-02 4.9999999e-03
 1.5100002e-02]",551.5170760056632,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
23,"[3.0000000e+01 1.9503502e+01 7.1600003e+00 ... 5.0000001e-02 4.9999999e-03
 1.4400003e-02]",579.1435882402798,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
24,"[3.0000000e+01 1.9540302e+01 8.0253000e+00 ... 5.0000001e-02 4.9999999e-03
 1.4100002e-02]",554.347759126287,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
25,"[3.0000000e+01 1.9236002e+01 6.8985000e+00 ... 5.0000001e-02 4.9999999e-03
 1.4500002e-02]",579.0556351893923,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
26,"[3.0000000e+01 1.8815502e+01 5.4931002e+00 ... 5.0000001e-02 4.9999999e-03
 1.4900003e-02]",556.5395847253956,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
27,"[3.0000000e+01 1.7870903e+01 2.6296000e+00 ... 5.0000001e-02 4.9999999e-03
 1.5800003e-02]",571.4370265737269,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
28,"[3.0000000e+01 1.7340803e+01 1.4443001e+00 ... 5.0000001e-02 4.9999999e-03
 1.6100002e-02]",548.3898923226051,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
29,"[3.0000000e+01 1.8208504e+01 3.8681002e+00 ... 5.0000001e-02 4.9999999e-03
 1.5400003e-02]",581.5427900129297,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
30,"[3.0000000e+01 1.9122904e+01 6.3259001e+00 ... 5.0000001e-02 4.9999999e-03
 1.4700003e-02]",573.7326379784658,"[3.0000000e+01 1.7500902e+01 2.6125996e+00 ... 5.0000001e-02 4.9999999e-03
 1.5700001e-02]",545.5532145793413
