,pob_x,pob_y,pob_x_best,pob_y_best
0,"[4.20230e+00 2.11317e+01 8.29160e+00 ... 4.30000e-02 2.06000e-02
 4.74000e-02]",28683423.358939484,"[4.20230e+00 2.11317e+01 8.29160e+00 ... 4.30000e-02 2.06000e-02
 4.74000e-02]",28683423.358939484
1,"[1.4035400e+01 1.1001201e+01 1.9162500e+01 ... 3.1400003e-02 1.7200001e-02
 3.8500000e-02]",976.1395187000713,"[1.4035400e+01 1.1001201e+01 1.9162500e+01 ... 3.1400003e-02 1.7200001e-02
 3.8500000e-02]",976.1395187000713
2,"[2.4563101e+01 1.5520068e-01 3.0000000e+01 ... 1.9000003e-02 1.3500000e-02
 2.8999999e-02]",1838034509.3977134,"[1.4035400e+01 1.1001201e+01 1.9162500e+01 ... 3.1400003e-02 1.7200001e-02
 3.8500000e-02]",976.1395187000713
3,"[2.6291101e+01 1.0000000e-03 3.0000000e+01 ... 1.7100003e-02 1.2800001e-02
 2.7500000e-02]",811.9855000942528,"[2.6291101e+01 1.0000000e-03 3.0000000e+01 ... 1.7100003e-02 1.2800001e-02
 2.7500000e-02]",811.9855000942528
4,"[2.2940401e+01 4.1868000e+00 2.6061399e+01 ... 2.9100003e-02 6.3000005e-03
 2.9400000e-02]",756.7353798137475,"[2.2940401e+01 4.1868000e+00 2.6061399e+01 ... 2.9100003e-02 6.3000005e-03
 2.9400000e-02]",756.7353798137475
5,"[1.9244600e+01 9.5938997e+00 2.0181499e+01 ... 4.5100003e-02 4.9999999e-03
 3.0900000e-02]",713.8613034359663,"[1.9244600e+01 9.5938997e+00 2.0181499e+01 ... 4.5100003e-02 4.9999999e-03
 3.0900000e-02]",713.8613034359663
6,"[1.7454100e+01 1.4201500e+01 1.4130599e+01 ... 5.0000001e-02 4.9999999e-03
 3.0099999e-02]",702.3952987960507,"[1.7454100e+01 1.4201500e+01 1.4130599e+01 ... 5.0000001e-02 4.9999999e-03
 3.0099999e-02]",702.3952987960507
7,"[1.9121201e+01 1.5888500e+01 1.0400099e+01 ... 5.0000001e-02 4.9999999e-03
 2.6300000e-02]",659.6545741256466,"[1.9121201e+01 1.5888500e+01 1.0400099e+01 ... 5.0000001e-02 4.9999999e-03
 2.6300000e-02]",659.6545741256466
8,"[2.1071400e+01 1.7089399e+01 7.7177987e+00 ... 5.0000001e-02 4.9999999e-03
 2.3100000e-02]",646.783791734586,"[2.1071400e+01 1.7089399e+01 7.7177987e+00 ... 5.0000001e-02 4.9999999e-03
 2.3100000e-02]",646.783791734586
9,"[2.5350199e+01 1.6782200e+01 9.5557985e+00 ... 5.0000001e-02 4.9999999e-03
 2.0099999e-02]",575.5334077333707,"[2.5350199e+01 1.6782200e+01 9.5557985e+00 ... 5.0000001e-02 4.9999999e-03
 2.0099999e-02]",575.5334077333707
10,"[3.0000000e+01 1.4939800e+01 1.5496399e+01 ... 5.0000001e-02 4.9999999e-03
 1.5899999e-02]",584.3654587791937,"[2.5350199e+01 1.6782200e+01 9.5557985e+00 ... 5.0000001e-02 4.9999999e-03
 2.0099999e-02]",575.5334077333707
11,"[3.0000000e+01 1.4456400e+01 1.6996399e+01 ... 5.0000001e-02 4.9999999e-03
 1.4599999e-02]",581.7619844861796,"[2.5350199e+01 1.6782200e+01 9.5557985e+00 ... 5.0000001e-02 4.9999999e-03
 2.0099999e-02]",575.5334077333707
12,"[2.8569599e+01 1.7297300e+01 7.2295990e+00 ... 5.0000001e-02 4.9999999e-03
 1.9199999e-02]",632.0802774160411,"[2.5350199e+01 1.6782200e+01 9.5557985e+00 ... 5.0000001e-02 4.9999999e-03
 2.0099999e-02]",575.5334077333707
13,"[2.6733099e+01 2.2850000e+01 1.0000000e-03 ... 5.0000001e-02 4.9999999e-03
 1.9900000e-02]",588.82525323237,"[2.5350199e+01 1.6782200e+01 9.5557985e+00 ... 5.0000001e-02 4.9999999e-03
 2.0099999e-02]",575.5334077333707
14,"[2.6025398e+01 2.2730600e+01 1.0000000e-03 ... 5.0000001e-02 4.9999999e-03
 1.8199999e-02]",566.8262538618638,"[2.6025398e+01 2.2730600e+01 1.0000000e-03 ... 5.0000001e-02 4.9999999e-03
 1.8199999e-02]",566.8262538618638
15,"[2.8418798e+01 2.0246799e+01 4.0009999e+00 ... 5.0000001e-02 4.9999999e-03
 1.4399999e-02]",559.9545203841199,"[2.8418798e+01 2.0246799e+01 4.0009999e+00 ... 5.0000001e-02 4.9999999e-03
 1.4399999e-02]",559.9545203841199
16,"[3.0000000e+01 1.8023300e+01 7.7680001e+00 ... 5.0000001e-02 4.9999999e-03
 1.1199999e-02]",585.2773425900906,"[2.8418798e+01 2.0246799e+01 4.0009999e+00 ... 5.0000001e-02 4.9999999e-03
 1.4399999e-02]",559.9545203841199
17,"[3.0000000e+01 1.8196899e+01 8.0488005e+00 ... 5.0000001e-02 4.9999999e-03
 1.1999998e-02]",570.2287128020469,"[2.8418798e+01 2.0246799e+01 4.0009999e+00 ... 5.0000001e-02 4.9999999e-03
 1.4399999e-02]",559.9545203841199
18,"[3.0000000e+01 1.9043600e+01 7.1500006e+00 ... 5.0000001e-02 4.9999999e-03
 1.3799998e-02]",555.8561508138473,"[3.0000000e+01 1.9043600e+01 7.1500006e+00 ... 5.0000001e-02 4.9999999e-03
 1.3799998e-02]",555.8561508138473
19,"[3.0000000e+01 1.9965300e+01 6.1837006e+00 ... 5.0000001e-02 4.9999999e-03
 1.5799997e-02]",555.7268165713112,"[3.0000000e+01 1.9965300e+01 6.1837006e+00 ... 5.0000001e-02 4.9999999e-03
 1.5799997e-02]",555.7268165713112
20,"[3.0000000e+01 2.0477499e+01 5.6655006e+00 ... 5.0000001e-02 4.9999999e-03
 1.6999997e-02]",577.464742866196,"[3.0000000e+01 1.9965300e+01 6.1837006e+00 ... 5.0000001e-02 4.9999999e-03
 1.5799997e-02]",555.7268165713112
21,"[3.0000000e+01 2.0539398e+01 5.6181006e+00 ... 5.0000001e-02 4.9999999e-03
 1.7199997e-02]",578.8804231308608,"[3.0000000e+01 1.9965300e+01 6.1837006e+00 ... 5.0000001e-02 4.9999999e-03
 1.5799997e-02]",555.7268165713112
22,"[3.00000000e+01 1.96159973e+01 6.56650066e+00 ... 5.00000007e-02
 4.99999989e-03 1.51999965e-02]",555.9143427441741,"[3.0000000e+01 1.9965300e+01 6.1837006e+00 ... 5.0000001e-02 4.9999999e-03
 1.5799997e-02]",555.7268165713112
23,"[3.0000000e+01 1.8914097e+01 7.0677009e+00 ... 5.0000001e-02 4.9999999e-03
 1.3699996e-02]",586.1617894355023,"[3.0000000e+01 1.9965300e+01 6.1837006e+00 ... 5.0000001e-02 4.9999999e-03
 1.5799997e-02]",555.7268165713112
24,"[3.0000000e+01 1.8455797e+01 7.2987008e+00 ... 5.0000001e-02 4.9999999e-03
 1.2699996e-02]",555.8082185206807,"[3.0000000e+01 1.9965300e+01 6.1837006e+00 ... 5.0000001e-02 4.9999999e-03
 1.5799997e-02]",555.7268165713112
25,"[3.0000000e+01 1.9588297e+01 6.2321010e+00 ... 5.0000001e-02 4.9999999e-03
 1.5099996e-02]",556.0395075728792,"[3.0000000e+01 1.9965300e+01 6.1837006e+00 ... 5.0000001e-02 4.9999999e-03
 1.5799997e-02]",555.7268165713112
26,"[3.0000000e+01 2.0785297e+01 5.3225012e+00 ... 5.0000001e-02 4.9999999e-03
 1.7499996e-02]",555.451067265157,"[3.0000000e+01 2.0785297e+01 5.3225012e+00 ... 5.0000001e-02 4.9999999e-03
 1.7499996e-02]",555.451067265157
27,"[3.0000000e+01 2.0922598e+01 5.1975012e+00 ... 5.0000001e-02 4.9999999e-03
 1.7799996e-02]",555.1719585151092,"[3.0000000e+01 2.0922598e+01 5.1975012e+00 ... 5.0000001e-02 4.9999999e-03
 1.7799996e-02]",555.1719585151092
28,"[3.0000000e+01 2.0845697e+01 5.2373013e+00 ... 5.0000001e-02 4.9999999e-03
 1.7599996e-02]",555.0887133895095,"[3.0000000e+01 2.0845697e+01 5.2373013e+00 ... 5.0000001e-02 4.9999999e-03
 1.7599996e-02]",555.0887133895095
29,"[3.0000000e+01 2.0430696e+01 5.5389013e+00 ... 5.0000001e-02 4.9999999e-03
 1.6699996e-02]",579.790486641635,"[3.0000000e+01 2.0845697e+01 5.2373013e+00 ... 5.0000001e-02 4.9999999e-03
 1.7599996e-02]",555.0887133895095
30,"[3.0000000e+01 2.0044197e+01 5.8241014e+00 ... 5.0000001e-02 4.9999999e-03
 1.5999995e-02]",545.6587913459239,"[3.0000000e+01 2.0044197e+01 5.8241014e+00 ... 5.0000001e-02 4.9999999e-03
 1.5999995e-02]",545.6587913459239
