Key Assumptions
"Scenario: Reference, Branch: Key Assumptions\MODFLOW\Simulaciones"
 
Branch,"Sim_A.P. Cabildo","Sim_A.P. Ligua","Sim_A.P. Papudo y Zapallar","Sim_A.P. Placilla","Sim_A.P. Valle Hermoso 1","Sim_A.P. Valle Hermoso 2","Sim_Asentamiento Alicahue","Sim_Asentamiento Bartolillo","Sim_Asentamiento Paihuen","Sim_Asentamiento Pililen","Sim_Asentamiento San Lorenzo","Sim_Asentamiento V. Aconcagua","Sim_Fundo El Molle","Sim_Fundo Montegrande","Sim_La Higuera","Sim_Pozo Dren Cabildo","Sim_Reserva La Vega"
"Aug 27 1979",205.629,62.645,18.3773,23.5964,71.766,71.766,678.176,467.64,567.411,451.949,282.545,417.697,352.823,160.321,97.4586,219.587,314.121
"Sep 3 1979",205.614,62.7395,18.3682,23.5975,71.7218,71.7218,678,467.667,567.365,451.896,282.349,417.695,352.89,160.278,97.4707,219.548,314.177
"Sep 10 1979",205.601,62.8262,18.3632,23.6062,71.6789,71.6789,677.831,467.692,567.322,451.845,282.16,417.695,352.954,160.239,97.481,219.51,314.232
"Sep 17 1979",205.583,62.9044,18.3469,23.5761,71.6293,71.6293,677.67,467.711,567.287,451.791,281.973,417.695,353.011,160.192,97.4892,219.452,314.283
"Sep 24 1979",205.554,62.9729,18.3303,23.5587,71.5784,71.5784,677.515,467.726,567.235,451.734,281.791,417.695,353.063,160.132,97.4953,219.375,314.332
"Oct 1 1979",205.527,63.0331,18.3159,23.5551,71.5283,71.5283,677.367,467.739,567.19,451.678,281.612,417.697,353.109,160.087,97.4999,219.321,314.378
"Oct 8 1979",205.494,63.0859,18.3012,23.5459,71.4781,71.4781,677.234,467.749,567.136,451.621,281.437,417.7,353.15,160.026,97.503,219.253,314.422
"Oct 15 1979",205.465,63.1316,18.2874,23.541,71.429,71.429,677.108,467.757,567.083,451.564,281.267,417.703,353.186,159.982,97.505,219.203,314.465
"Oct 22 1979",205.447,63.1709,18.2779,23.5577,71.3823,71.3823,676.996,467.762,567.114,451.515,281.101,417.708,353.221,159.966,97.5061,219.203,314.505
"Oct 29 1979",205.409,63.2045,18.2635,23.5294,71.3341,71.3341,676.878,467.765,567.026,451.46,280.94,417.713,353.251,159.887,97.5065,219.113,314.543
"Nov 5 1979",205.381,63.2328,18.2525,23.5341,71.2876,71.2876,676.765,467.766,566.961,451.407,280.782,417.719,353.278,159.846,97.5063,219.069,314.579
"Nov 12 1979",205.347,63.2564,18.2404,23.516,71.2407,71.2407,676.658,467.766,566.904,451.355,280.627,417.725,353.302,159.785,97.5058,219.01,314.614
"Nov 19 1979",205.318,63.2756,18.2303,23.5227,71.1951,71.1951,676.555,467.763,566.852,451.305,280.475,417.732,353.323,159.736,97.505,218.966,314.647
"Nov 26 1979",205.286,63.2906,18.2191,23.4809,71.1478,71.1478,676.456,467.759,566.802,451.255,280.325,417.739,353.343,159.675,97.5041,218.914,314.678
"Dec 3 1979",205.259,63.3017,18.2104,23.513,71.1031,71.1031,676.361,467.753,566.754,451.207,280.179,417.747,353.361,159.63,97.503,218.88,314.707
"Dec 10 1979",205.227,63.3091,18.1953,23.4339,71.0549,71.0549,676.27,467.746,566.708,451.158,280.036,417.755,353.378,159.562,97.5018,218.823,314.727
"Dec 17 1979",205.204,63.3131,18.1894,23.4947,71.012,71.012,676.183,467.738,566.664,451.111,279.895,417.763,353.393,159.526,97.5006,218.802,314.748
"Dec 24 1979",205.179,63.3139,18.1823,23.4698,70.9687,70.9687,676.099,467.728,566.619,451.063,279.758,417.771,353.407,159.478,97.4994,218.767,314.77
"Jan 1 1980",205.147,63.3107,18.1631,23.4109,70.9155,70.9155,676.005,467.716,566.564,451.01,279.605,417.781,353.421,159.409,97.4979,218.715,314.795
"Jan 8 1980",205.122,63.3051,18.1637,23.4994,70.7622,70.7622,675.927,467.705,566.528,450.965,279.473,417.79,353.433,159.384,97.4967,218.696,314.817
"Jan 15 1980",205.086,63.2967,18.1505,23.4191,70.6776,70.6776,675.852,467.692,566.485,450.919,279.345,417.799,353.444,159.324,97.4955,218.644,314.837
"Jan 22 1980",205.055,63.2857,18.1422,23.4202,70.6131,70.6131,675.78,467.679,566.443,450.875,279.219,417.809,353.454,159.283,97.4942,218.611,314.856
"Jan 29 1980",205.026,63.2722,18.136,23.428,70.5577,70.5577,675.711,467.665,566.402,450.831,279.097,417.818,353.464,159.245,97.493,218.582,314.874
"Feb 5 1980",204.996,63.2566,18.124,23.4028,70.5057,70.5057,675.645,467.65,566.361,450.788,278.977,417.827,353.472,159.199,97.4917,218.545,314.89
"Feb 12 1980",204.97,63.2388,18.1205,23.4231,70.4591,70.4591,675.583,467.635,566.322,450.745,278.86,417.836,353.48,159.164,97.4904,218.52,314.906
"Feb 19 1980",204.944,63.219,18.1104,23.3939,70.4139,70.4139,675.523,467.619,566.283,450.703,278.745,417.846,353.487,159.122,97.4892,218.487,314.92
"Feb 26 1980",204.919,63.1973,18.1069,23.4193,70.3708,70.3708,675.465,467.603,566.244,450.661,278.634,417.855,353.494,159.083,97.4879,218.457,314.933
"Mar 5 1980",204.888,63.1702,18.0861,23.3463,70.3203,70.3203,675.401,467.584,566.197,450.614,278.51,417.865,353.5,159.028,97.4864,218.415,314.946
"Mar 12 1980",204.871,63.1449,18.0919,23.4396,70.2856,70.2856,675.347,467.567,566.166,450.575,278.403,417.874,353.506,159.012,97.4851,218.408,314.957
"Mar 19 1980",204.847,63.1181,18.0818,23.3856,70.2479,70.2479,675.296,467.549,566.128,450.536,278.3,417.883,353.511,158.971,97.4838,218.377,314.967
"Mar 26 1980",204.828,63.09,18.0768,23.3948,70.2123,70.2123,675.246,467.531,566.092,450.497,278.199,417.891,353.516,158.943,97.4825,218.357,314.975
"Apr 2 1980",204.806,63.0608,18.0679,23.3706,70.1762,70.1762,675.197,467.513,566.059,450.467,278.101,417.9,353.52,158.904,97.4812,218.328,314.983
"Apr 9 1980",204.788,63.0304,18.0637,23.3949,70.1426,70.1426,675.15,467.495,566.026,450.437,278.005,417.908,353.524,158.878,97.4799,218.312,314.99
"Apr 16 1980",204.855,63.01,18.1607,23.5403,70.1914,70.1914,675.136,467.55,566.019,450.444,277.974,417.941,353.55,158.973,97.4886,218.412,315.027
"Apr 23 1980",204.863,62.9931,18.1365,23.5154,70.1622,70.1622,675.085,467.529,566.01,450.413,277.885,417.949,353.555,158.964,97.4957,218.419,315.032
