,y_E1_vm_2,y_E1_vm_3,y_E1_vm_4,y_E1_vm_5,y_E1_vm_6,y_E1_vm_7,y_E1_vm_8,y_E1_vm_9,y_E1_vm_10,y_E1_vm_11,y_E1_vm_12,y_E1_vm_13,y_E1_vm_14,y_E1_vm_15,y_E1_vm_16,y_E1_vm_17,y_E1_vm_18,y_E1_vm_19,y_E1_vm_20,y_E1_vm_21
0,6.646798395063041,6.959906151739452,6.730032469533885,6.8198806448996665,6.707791396255551,6.887902469694259,6.841693486154675,6.779960280932743,6.736557336520299,6.851044853988897,6.61620930179339,6.558167369947582,6.839121065598078,6.7675183536316945,6.751847233227786,6.774872858408499,6.906887383467811,6.843552166164188,6.827507349688749,11.60558911514699
1,6.624147176858542,6.67162769678427,6.724852796543627,6.781736757756025,6.691822594510624,6.748791711618824,6.691362864717771,6.754674414883517,6.677665710812864,6.843700415022009,6.616234413865161,6.558166000133118,6.778895618305928,6.698952609625027,6.733482262517859,6.774873528271663,6.84432875461019,6.843578776564764,6.827451357575472,6.738544014935965
2,6.598411167443949,6.379296385246693,6.68203805362656,6.652067836473218,6.660665700163612,6.4962684847319645,6.468860100433738,6.606327823943036,6.603147375381606,6.683378147621545,6.613251530867248,6.558210544518483,6.59923948631342,6.57459208789062,6.616597747818544,6.669947417390257,6.676178931718811,6.679852031987197,6.774800543232332,6.447476996275794
3,6.6282128842100665,6.273302554579385,6.625498709618283,6.433555739244816,6.5430431012239385,6.315450353378248,6.385703853542048,6.496421203464866,6.528959460067931,6.508216973357163,6.5701284118624015,6.531882442283116,6.501401481053219,6.505500644834786,6.494658145162254,6.498383658922731,6.511818961838889,6.505950573371748,6.599799302816514,6.408939035647234
4,6.508830505281511,6.204782804178929,6.551839752339299,6.423732930643,6.45377587686322,6.280383288192344,6.303541839279136,6.501186776468071,6.384641742092827,6.4702515306854975,6.543225636857334,6.452815961812525,6.534897427877224,6.454389618178826,6.3462667560427795,6.415387804529941,6.410773302561531,6.388252889432953,6.346154280442188,6.4198421734211095
5,6.338432185023886,6.1973415642138505,6.363858223273119,6.319174195605575,6.392977368369075,6.244173434962994,6.255441422847152,6.503744160381269,6.3893104279231485,6.4405230466565175,6.556450759387899,6.3540108228353,6.435640111700486,6.32027607383706,6.233823507205722,6.307406279661891,6.31570445195323,6.300360733347579,6.248084449465113,6.254860680418635
6,6.296648523665565,6.178251125337955,6.199178809286188,6.256063907395981,6.241951673198366,6.2336499116023445,6.280825770747664,6.29259821773525,6.282492735567655,6.400177977413762,6.529930369772649,6.20319617528275,6.182045848599322,6.196819421296058,6.145955416056528,6.189356429955107,6.1659513916219835,6.179593207377961,6.098163598668179,6.171893016890837
7,6.269608787384051,6.08194162254311,6.1066440069653884,6.112173409488361,6.113693571504461,6.155166451770013,6.223874460841068,6.07039531079083,6.171817260656176,6.222646478328249,6.390155633326376,6.163098582238997,6.02332079597228,6.158344973198252,6.113102309644353,6.176867281333904,6.103289605982011,6.1700675141462575,6.0159356723124215,6.045074143673218
8,6.127824855124869,5.9866300333543405,6.0199059832424275,5.983576010693091,6.054564801458211,6.137020302511468,6.148966218979653,6.026680118530217,6.046961243366948,5.9575349106772455,6.0531156203651255,6.109732245926917,5.989362546619676,6.218904955460266,6.109300918018485,6.141201302259392,6.048709575519189,6.078172269017605,6.028437690885211,6.04292295323852
9,6.04336727369879,5.938826545055907,5.996293542474355,5.945867718328919,6.007994951161894,6.044582893029212,5.9749365806960135,6.033322151036445,5.98186727826495,5.8912481721817604,5.933351961750107,5.996132042591678,5.954778192055409,6.207620416096775,6.117086802127205,6.044253028619528,6.008302909455569,6.048002742732841,6.0275469178010175,6.015644519180807
