,y_E2_vm_2,y_E2_vm_3,y_E2_vm_4,y_E2_vm_5,y_E2_vm_6,y_E2_vm_7,y_E2_vm_8,y_E2_vm_9,y_E2_vm_10,y_E2_vm_11,y_E2_vm_12,y_E2_vm_13,y_E2_vm_14,y_E2_vm_15,y_E2_vm_16,y_E2_vm_17,y_E2_vm_18,y_E2_vm_19,y_E2_vm_20,y_E2_vm_21
0,6.739044931555281,6.888268780837684,14.39861438207253,6.795800380367824,6.89017064893085,12.045752729268795,6.82828005581207,6.782984885144944,17.75412549811919,6.734212485896913,20.468891605044323,16.13392092241379,17.642286455511993,6.759529066667031,6.615974525067074,6.8360501003045675,6.81352649610701,16.143908602709686,7.056407861034959,19.438096734283175
1,6.739118619528058,6.826396879162155,7.005377597566281,6.7838613506217404,6.726218010220858,24.45581100037864,6.672612853766761,6.73728045230211,6.751827094793952,6.741202025464019,6.97751992065019,21.934136143017078,6.774143060641143,6.754543624180117,6.6213769576921075,6.831154120342018,6.812666438976618,6.959451989814355,7.080728089114906,18.912924471370896
2,6.738816435592079,6.711864735696165,6.753949973733071,6.666147605913262,6.561217696957651,6.972159065218,6.633286410858769,6.6581000036989595,6.488362458211698,6.723736217622538,6.539355839779438,6.73667121785468,6.563696545320254,6.672543502070438,6.617884245738328,6.678521194743793,6.785989908523582,6.7092071442837735,6.850164675535202,6.835311483154238
3,6.7064770289256455,6.681572751134506,6.333853818507191,6.600218252671638,6.5658383279683035,6.534653829289923,6.646214228659545,6.579460632016509,6.368777943927927,6.672679432494162,6.325650849211029,6.39412457531831,6.6472709147406395,6.558619464241691,6.615922856358347,6.633226173098192,6.6184921443181075,6.501755144067196,6.435105962553845,6.529124183794983
4,6.659340011859374,6.619098880855027,6.2092645087764815,6.467104134521236,6.536637747871746,6.351652419222068,6.653171552222392,6.4486940351860484,6.334575950491334,6.592216678714311,6.231808767521627,6.333295942163307,6.475497418548555,6.544788058250161,6.534293581837561,6.709179943793214,6.459552156535559,6.4158783695924395,6.3323811826729886,6.381686367531099
5,6.49580682789734,6.476089507017731,6.177724571676917,6.315348851740416,6.508205700848444,6.224448076027743,6.60379627891177,6.327417863596666,6.287937521521999,6.499131758046779,6.165740978026005,6.142711156989923,6.270436425580778,6.501902736852914,6.363200262785088,6.573953889253873,6.27561344644415,6.320311722410622,6.280315043435177,6.278141231444838
6,6.279928818974547,6.293821164581664,6.1501218925711365,6.238949374735064,6.315746866486101,6.15245143488802,6.534790996903901,6.243995821562228,6.207966423685766,6.413366418077654,6.132775898488289,6.067723511646206,6.141391901940144,6.477019966560661,6.197105346206703,6.347060964864168,6.23363504436482,6.230493147207117,6.19647972021615,6.179695368685166
7,6.189482061380871,6.149704243564329,6.129064725059155,6.209080098409364,6.112869124938715,6.117083230768902,6.262556166558089,6.140053159041471,6.149069636374101,6.188916228721701,6.127419924785054,6.055129745237058,6.1111859703252085,6.360983398090721,6.125142964245732,6.13514293085767,6.2068150987217905,6.185485419266444,6.121886655443512,6.113062165893811
8,6.165133931490781,6.085269908565489,6.092311867845291,6.136958662175856,6.005081518705417,6.034044462121027,6.039059951976517,6.067474866026188,6.093383067237016,6.039926858348848,6.080305920629656,6.051708661429348,6.086947597513917,6.073631441983884,6.091692832015537,6.056888759516796,6.109812810397862,6.16105284336219,6.126725479871291,6.086723981731874
9,6.0822658371768785,6.029691339217009,6.0689509378881015,6.0201597971044585,5.952484658949402,5.976939814713898,5.970869435778571,6.02009815934457,6.049341348404911,5.994104235981106,6.034546507411498,6.0471564197804195,6.039401070095444,6.045145830553046,6.046180286158066,6.017211321930523,6.032361909670481,6.049831970220681,6.109094997982917,6.039225159647276
