,pob_x,pob_y,pob_x_best,pob_y_best
0,"[1.39074e+01 2.45767e+01 1.35127e+01 ... 9.70000e-03 4.38000e-02
 4.56000e-02]",132225593.1226873,"[1.39074e+01 2.45767e+01 1.35127e+01 ... 9.70000e-03 4.38000e-02
 4.56000e-02]",132225593.1226873
1,"[1.43451e+01 2.04955e+01 1.58483e+01 ... 1.65000e-02 4.25000e-02
 4.63000e-02]",4552952.209128419,"[1.43451e+01 2.04955e+01 1.58483e+01 ... 1.65000e-02 4.25000e-02
 4.63000e-02]",4552952.209128419
2,[14.748301 16.7352   18.0003   ...  0.0228    0.0413    0.0469  ],841.1508726874538,[14.748301 16.7352   18.0003   ...  0.0228    0.0413    0.0469  ],841.1508726874538
3,[20.0258    7.734101 21.977999 ...  0.033     0.0435    0.0498  ],718.2438269946621,[20.0258    7.734101 21.977999 ...  0.033     0.0435    0.0498  ],718.2438269946621
4,"[2.4736401e+01 1.0000000e-03 2.5528399e+01 ... 4.2100001e-02 4.5499999e-02
 5.0000001e-02]",685.6069696110318,"[2.4736401e+01 1.0000000e-03 2.5528399e+01 ... 4.2100001e-02 4.5499999e-02
 5.0000001e-02]",685.6069696110318
5,"[2.4396601e+01 1.0000000e-03 2.6902098e+01 ... 4.3200001e-02 4.9199998e-02
 5.0000001e-02]",655.0860864639468,"[2.4396601e+01 1.0000000e-03 2.6902098e+01 ... 4.3200001e-02 4.9199998e-02
 5.0000001e-02]",655.0860864639468
6,[22.075     3.1016   27.036798 ...  0.0408    0.05      0.05    ],641.0668431364854,[22.075     3.1016   27.036798 ...  0.0408    0.05      0.05    ],641.0668431364854
7,"[1.3035001e+01 2.0236000e+01 2.2186899e+01 ... 2.1600001e-02 5.0000001e-02
 5.0000001e-02]",577.9480222752479,"[1.3035001e+01 2.0236000e+01 2.2186899e+01 ... 2.1600001e-02 5.0000001e-02
 5.0000001e-02]",577.9480222752479
8,"[4.8787007e+00 3.0000000e+01 1.7279200e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",530.9103119242383,"[4.8787007e+00 3.0000000e+01 1.7279200e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",530.9103119242383
9,"[1.0000000e-03 3.0000000e+01 1.2959499e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",512.8539937282172,"[1.0000000e-03 3.0000000e+01 1.2959499e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",512.8539937282172
10,"[1.000000e-03 3.000000e+01 9.167999e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",511.11692117977645,"[1.000000e-03 3.000000e+01 9.167999e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",511.11692117977645
11,"[1.000000e-03 3.000000e+01 5.849499e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",504.689449054755,"[1.000000e-03 3.000000e+01 5.849499e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",504.689449054755
12,"[1.0000000e-03 3.0000000e+01 3.1178992e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",507.8608515525191,"[1.000000e-03 3.000000e+01 5.849499e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",504.689449054755
13,"[1.0000000e-03 3.0000000e+01 1.8874992e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",507.05865819551394,"[1.000000e-03 3.000000e+01 5.849499e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",504.689449054755
14,"[1.0000000e-03 3.0000000e+01 3.3984993e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",508.0042538817091,"[1.000000e-03 3.000000e+01 5.849499e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",504.689449054755
15,"[1.0000000e-03 3.0000000e+01 3.8974993e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",482.78208858696155,"[1.0000000e-03 3.0000000e+01 3.8974993e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",482.78208858696155
16,"[1.0000000e-03 3.0000000e+01 2.7797992e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",443.36683432567474,"[1.0000000e-03 3.0000000e+01 2.7797992e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",443.36683432567474
17,"[1.0000000e-03 3.0000000e+01 1.7311993e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",427.73016268791173,"[1.0000000e-03 3.0000000e+01 1.7311993e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",427.73016268791173
18,"[1.0000000e-03 3.0000000e+01 4.1099927e-01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",430.1890017599764,"[1.0000000e-03 3.0000000e+01 1.7311993e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",427.73016268791173
19,"[1.0000000e-03 3.0000000e+01 6.9699265e-02 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",427.0842321139784,"[1.0000000e-03 3.0000000e+01 6.9699265e-02 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",427.0842321139784
20,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],413.120601685878,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],413.120601685878
21,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],407.96205526715664,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],407.96205526715664
22,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],405.03714757126653,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],405.03714757126653
23,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],402.7628870228593,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],402.7628870228593
24,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],400.99799979907004,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],400.99799979907004
25,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],400.8225225744812,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],400.8225225744812
26,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],400.5123466187485,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],400.5123466187485
