,pob_x,pob_y,pob_x_best,pob_y_best
0,[2.7335e+01 7.8314e+00 7.7650e-01 ... 6.8000e-03 1.5700e-02 1.6000e-02],53190570.717265286,[2.7335e+01 7.8314e+00 7.7650e-01 ... 6.8000e-03 1.5700e-02 1.6000e-02],53190570.717265286
1,"[2.45024986e+01 8.30789948e+00 5.84079981e+00 ... 1.34000005e-02
 2.12999992e-02 2.37000007e-02]",11883265.477409014,"[2.45024986e+01 8.30789948e+00 5.84079981e+00 ... 1.34000005e-02
 2.12999992e-02 2.37000007e-02]",11883265.477409014
2,[17.199299  9.536499 18.8986   ...  0.0304    0.0356    0.0435  ],17710721.15571096,"[2.45024986e+01 8.30789948e+00 5.84079981e+00 ... 1.34000005e-02
 2.12999992e-02 2.37000007e-02]",11883265.477409014
3,[16.289999  9.772699 21.822    ...  0.0337    0.04      0.0485  ],5247657.227221171,[16.289999  9.772699 21.822    ...  0.0337    0.04      0.0485  ],5247657.227221171
4,[15.115899 11.031599 24.3444   ...  0.0354    0.0454    0.05    ],696.9217602601931,[15.115899 11.031599 24.3444   ...  0.0354    0.0454    0.05    ],696.9217602601931
5,[13.905199 12.908099 26.1857   ...  0.0356    0.05      0.05    ],49997242170.753006,[15.115899 11.031599 24.3444   ...  0.0354    0.0454    0.05    ],696.9217602601931
6,[13.187299 16.379398 25.4483   ...  0.0307    0.05      0.05    ],642.8541104814605,[13.187299 16.379398 25.4483   ...  0.0307    0.05      0.05    ],642.8541104814605
7,[12.236898 20.381498 24.4089   ...  0.0246    0.05      0.05    ],607.0128485593157,[12.236898 20.381498 24.4089   ...  0.0246    0.05      0.05    ],607.0128485593157
8,"[6.7393985e+00 3.0000000e+01 1.8977400e+01 ... 6.7999992e-03 5.0000001e-02
 5.0000001e-02]",544.259777149473,"[6.7393985e+00 3.0000000e+01 1.8977400e+01 ... 6.7999992e-03 5.0000001e-02
 5.0000001e-02]",544.259777149473
9,"[1.00000e-03 3.00000e+01 1.05469e+01 ... 5.00000e-03 5.00000e-02
 5.00000e-02]",522.45544093646,"[1.00000e-03 3.00000e+01 1.05469e+01 ... 5.00000e-03 5.00000e-02
 5.00000e-02]",522.45544093646
10,"[1.0000000e-03 3.0000000e+01 2.5959997e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",525.0497490211012,"[1.00000e-03 3.00000e+01 1.05469e+01 ... 5.00000e-03 5.00000e-02
 5.00000e-02]",522.45544093646
11,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],524.1392843841661,"[1.00000e-03 3.00000e+01 1.05469e+01 ... 5.00000e-03 5.00000e-02
 5.00000e-02]",522.45544093646
12,[1.0000e-03 3.0000e+01 3.0421e+00 ... 5.0000e-03 5.0000e-02 5.0000e-02],508.06872676502417,[1.0000e-03 3.0000e+01 3.0421e+00 ... 5.0000e-03 5.0000e-02 5.0000e-02],508.06872676502417
13,[1.0000e-03 3.0000e+01 4.6573e+00 ... 5.0000e-03 5.0000e-02 5.0000e-02],489.5102382841261,[1.0000e-03 3.0000e+01 4.6573e+00 ... 5.0000e-03 5.0000e-02 5.0000e-02],489.5102382841261
14,[1.0000e-03 3.0000e+01 4.4218e+00 ... 5.0000e-03 5.0000e-02 5.0000e-02],461.24388195436876,[1.0000e-03 3.0000e+01 4.4218e+00 ... 5.0000e-03 5.0000e-02 5.0000e-02],461.24388195436876
15,"[1.0000000e-03 3.0000000e+01 2.3054001e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",423.89924673267274,"[1.0000000e-03 3.0000000e+01 2.3054001e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",423.89924673267274
16,"[1.0000000e-03 3.0000000e+01 1.6010013e-01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",420.6658193978404,"[1.0000000e-03 3.0000000e+01 1.6010013e-01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",420.6658193978404
17,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],418.4615866064585,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],418.4615866064585
18,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],416.57795021361466,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],416.57795021361466
19,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],414.128230541795,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],414.128230541795
20,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],412.36849079627103,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],412.36849079627103
21,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],410.10019773394345,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],410.10019773394345
22,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],404.15207079220886,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],404.15207079220886
23,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],400.5085090443555,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],400.5085090443555
24,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],399.6268198017785,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],399.6268198017785
25,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],398.9922916701467,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],398.9922916701467
