,pob_x,pob_y,pob_x_best,pob_y_best
0,"[2.07376e+01 2.35654e+01 1.13235e+01 ... 1.58000e-02 3.50000e-02
 1.03000e-02]",846.8292914508992,"[2.07376e+01 2.35654e+01 1.13235e+01 ... 1.58000e-02 3.50000e-02
 1.03000e-02]",846.8292914508992
1,"[2.0827600e+01 2.3221399e+01 1.1504300e+01 ... 1.7199999e-02 3.5599999e-02
 1.0700000e-02]",78743772.11697207,"[2.07376e+01 2.35654e+01 1.13235e+01 ... 1.58000e-02 3.50000e-02
 1.03000e-02]",846.8292914508992
2,"[2.0282501e+01 2.1408499e+01 1.2850300e+01 ... 2.0299999e-02 3.6399998e-02
 1.5400001e-02]",36932.313194361785,"[2.07376e+01 2.35654e+01 1.13235e+01 ... 1.58000e-02 3.50000e-02
 1.03000e-02]",846.8292914508992
3,[20.329302 16.9404   15.8438   ...  0.0235    0.0394    0.0285  ],817.9949556804165,[20.329302 16.9404   15.8438   ...  0.0235    0.0394    0.0285  ],817.9949556804165
4,[19.843203 12.945299 18.954199 ...  0.0265    0.043     0.0419  ],758.5070163161989,[19.843203 12.945299 18.954199 ...  0.0265    0.043     0.0419  ],758.5070163161989
5,[15.087103  12.2046995 23.3648    ...  0.0283     0.05       0.05     ],686.7913636309912,[15.087103  12.2046995 23.3648    ...  0.0283     0.05       0.05     ],686.7913636309912
6,"[9.049003e+00 2.092420e+01 2.505550e+01 ... 1.930000e-02 5.000000e-02
 5.000000e-02]",608.9013594432365,"[9.049003e+00 2.092420e+01 2.505550e+01 ... 1.930000e-02 5.000000e-02
 5.000000e-02]",608.9013594432365
7,"[3.5078027e+00 3.0000000e+01 2.4383499e+01 ... 5.4000006e-03 5.0000001e-02
 5.0000001e-02]",578.945904767643,"[3.5078027e+00 3.0000000e+01 2.4383499e+01 ... 5.4000006e-03 5.0000001e-02
 5.0000001e-02]",578.945904767643
8,"[1.00000e-03 3.00000e+01 1.87342e+01 ... 5.00000e-03 5.00000e-02
 5.00000e-02]",540.5316726756395,"[1.00000e-03 3.00000e+01 1.87342e+01 ... 5.00000e-03 5.00000e-02
 5.00000e-02]",540.5316726756395
9,"[1.0000000e-03 3.0000000e+01 1.2422899e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",543.3849601100783,"[1.00000e-03 3.00000e+01 1.87342e+01 ... 5.00000e-03 5.00000e-02
 5.00000e-02]",540.5316726756395
10,"[1.0000000e-03 3.0000000e+01 7.9331994e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",547.3334245862293,"[1.00000e-03 3.00000e+01 1.87342e+01 ... 5.00000e-03 5.00000e-02
 5.00000e-02]",540.5316726756395
11,"[1.0000000e-03 3.0000000e+01 7.3917994e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",545.1716190731916,"[1.00000e-03 3.00000e+01 1.87342e+01 ... 5.00000e-03 5.00000e-02
 5.00000e-02]",540.5316726756395
12,"[1.0000000e-03 3.0000000e+01 1.3518299e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",525.515663653612,"[1.0000000e-03 3.0000000e+01 1.3518299e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",525.515663653612
13,"[1.0000000e-03 3.0000000e+01 1.6661499e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",489.5625094871402,"[1.0000000e-03 3.0000000e+01 1.6661499e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",489.5625094871402
14,"[1.000000e-03 3.000000e+01 7.396299e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",420.80730749546996,"[1.000000e-03 3.000000e+01 7.396299e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",420.80730749546996
15,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],423.0183234665407,"[1.000000e-03 3.000000e+01 7.396299e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",420.80730749546996
16,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],423.3041759418199,"[1.000000e-03 3.000000e+01 7.396299e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",420.80730749546996
17,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],415.8833733396379,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],415.8833733396379
