,pob_x,pob_y,pob_x_best,pob_y_best
0,[ 5.3605 15.8968 26.361  ...  0.0283  0.0324  0.027 ],77901018.17882286,[ 5.3605 15.8968 26.361  ...  0.0283  0.0324  0.027 ],77901018.17882286
1,[ 5.4828997 15.8234005 26.3078    ...  0.0284     0.0325     0.0273   ],975.3068479847911,[ 5.4828997 15.8234005 26.3078    ...  0.0284     0.0325     0.0273   ],975.3068479847911
2,[ 8.597199 13.956301 24.9534   ...  0.0303    0.0346    0.0338  ],216628984.66821545,[ 5.4828997 15.8234005 26.3078    ...  0.0284     0.0325     0.0273   ],975.3068479847911
3,[14.054999 11.4883   22.8884   ...  0.0312    0.039     0.0425  ],819.0544535275155,[14.054999 11.4883   22.8884   ...  0.0312    0.039     0.0425  ],819.0544535275155
4,[19.8384    8.7121   20.906199 ...  0.0323    0.0436    0.05    ],5103601.086362166,[14.054999 11.4883   22.8884   ...  0.0312    0.039     0.0425  ],819.0544535275155
5,[20.5663   10.7226   19.881899 ...  0.0299    0.0492    0.05    ],686.567501399429,[20.5663   10.7226   19.881899 ...  0.0299    0.0492    0.05    ],686.567501399429
6,"[1.5823600e+01 2.2509001e+01 1.9148998e+01 ... 1.6600003e-02 5.0000001e-02
 5.0000001e-02]",564.8012386759705,"[1.5823600e+01 2.2509001e+01 1.9148998e+01 ... 1.6600003e-02 5.0000001e-02
 5.0000001e-02]",564.8012386759705
7,"[9.1352997e+00 3.0000000e+01 1.8717299e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",536.8326684397891,"[9.1352997e+00 3.0000000e+01 1.8717299e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",536.8326684397891
8,"[2.4189968e-01 3.0000000e+01 1.7326099e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",527.677359473414,"[2.4189968e-01 3.0000000e+01 1.7326099e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",527.677359473414
9,"[1.0000000e-03 3.0000000e+01 1.3914499e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",524.8739629712817,"[1.0000000e-03 3.0000000e+01 1.3914499e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",524.8739629712817
10,"[1.000000e-03 3.000000e+01 8.612499e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",517.0499265786586,"[1.000000e-03 3.000000e+01 8.612499e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",517.0499265786586
11,"[1.0000000e-03 3.0000000e+01 3.4994993e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",507.79636758617517,"[1.0000000e-03 3.0000000e+01 3.4994993e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",507.79636758617517
12,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],493.1895008909189,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],493.1895008909189
13,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],464.27156089916156,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],464.27156089916156
14,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],437.7649317076017,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],437.7649317076017
15,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],419.77522089998035,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],419.77522089998035
