,pob_x,pob_y,pob_x_best,pob_y_best
0,"[2.22210e+01 1.78918e+01 1.43045e+01 ... 3.90000e-02 4.53000e-02
 1.73000e-02]",826.6520317986723,"[2.22210e+01 1.78918e+01 1.43045e+01 ... 3.90000e-02 4.53000e-02
 1.73000e-02]",826.6520317986723
1,"[2.22210e+01 1.78918e+01 1.43045e+01 ... 3.90000e-02 4.53000e-02
 1.73000e-02]",826.732057289436,"[2.22210e+01 1.78918e+01 1.43045e+01 ... 3.90000e-02 4.53000e-02
 1.73000e-02]",826.6520317986723
2,[20.698101 16.0666   16.0355   ...  0.038     0.0439    0.0243  ],820.0535486314355,[20.698101 16.0666   16.0355   ...  0.038     0.0439    0.0243  ],820.0535486314355
3,[16.998602 11.632901 20.2403   ...  0.0355    0.0404    0.0413  ],829.101600036816,[20.698101 16.0666   16.0355   ...  0.038     0.0439    0.0243  ],820.0535486314355
4,[14.549002  8.390001 23.244    ...  0.0335    0.0381    0.05    ],736.2325090291591,[14.549002  8.390001 23.244    ...  0.0335    0.0381    0.05    ],736.2325090291591
5,[12.055101  9.248801 25.0282   ...  0.0281    0.0414    0.05    ],747.1759947397184,[14.549002  8.390001 23.244    ...  0.0335    0.0381    0.05    ],736.2325090291591
6,"[1.1232701e+01 1.2680101e+01 2.4652800e+01 ... 2.3700001e-02 4.6699997e-02
 5.0000001e-02]",731.1923225427186,"[1.1232701e+01 1.2680101e+01 2.4652800e+01 ... 2.3700001e-02 4.6699997e-02
 5.0000001e-02]",731.1923225427186
7,"[1.0826501e+01 1.9149801e+01 2.3139000e+01 ... 1.7000001e-02 5.0000001e-02
 5.0000001e-02]",627.8512632256856,"[1.0826501e+01 1.9149801e+01 2.3139000e+01 ... 1.7000001e-02 5.0000001e-02
 5.0000001e-02]",627.8512632256856
8,"[9.5874004e+00 2.9096302e+01 2.0491800e+01 ... 6.4000008e-03 5.0000001e-02
 5.0000001e-02]",574.0941924135079,"[9.5874004e+00 2.9096302e+01 2.0491800e+01 ... 6.4000008e-03 5.0000001e-02
 5.0000001e-02]",574.0941924135079
9,"[7.0287004e+00 3.0000000e+01 1.7160101e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",521.4002891319464,"[7.0287004e+00 3.0000000e+01 1.7160101e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",521.4002891319464
10,"[2.8455005e+00 3.0000000e+01 1.3077801e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",518.4306646938297,"[2.8455005e+00 3.0000000e+01 1.3077801e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",518.4306646938297
11,"[1.0000000e-03 3.0000000e+01 9.3803005e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",517.4255628118473,"[1.0000000e-03 3.0000000e+01 9.3803005e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",517.4255628118473
12,"[1.0000000e-03 3.0000000e+01 5.7359004e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",515.8833958589996,"[1.0000000e-03 3.0000000e+01 5.7359004e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",515.8833958589996
13,"[1.0000000e-03 3.0000000e+01 1.5542004e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",509.2541290815834,"[1.0000000e-03 3.0000000e+01 1.5542004e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",509.2541290815834
14,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],492.79613463784926,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],492.79613463784926
15,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],469.5690413019806,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],469.5690413019806
16,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],438.1093605971572,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],438.1093605971572
17,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],417.4076475573888,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],417.4076475573888
18,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],416.43742129765513,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],416.43742129765513
19,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],414.1033185951362,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],414.1033185951362
20,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],411.7326775192589,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],411.7326775192589
21,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],409.2840868242196,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],409.2840868242196
22,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],406.24305566212405,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],406.24305566212405
23,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],404.16000417659404,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],404.16000417659404
24,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],402.6371455498069,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],402.6371455498069
25,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],401.7559684427024,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],401.7559684427024
26,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],401.0989857509233,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],401.0989857509233
27,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],399.6660975237821,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],399.6660975237821
28,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],398.25149662630463,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],398.25149662630463
29,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.99821152657444,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.99821152657444
30,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.4806098094649,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.4806098094649
31,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.70638273811335,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.4806098094649
32,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.32185808359014,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.32185808359014
33,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.3408247309747,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.32185808359014
34,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.0882349308456,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.0882349308456
