,y_L_E1_vm_2,y_L_E1_vm_3,y_L_E1_vm_4,y_L_E1_vm_5,y_L_E1_vm_6,y_L_E1_vm_8,y_L_E1_vm_9,y_L_E1_vm_10,y_L_E1_vm_11,y_L_E1_vm_12,y_L_E1_vm_13,y_L_E1_vm_14,y_L_E1_vm_15,y_L_E1_vm_16
0,17.789391696445957,16.108160360204035,15.786126230118567,6.89795692029151,21.51199832103291,6.74149912941695,6.699940860408161,18.170949581087047,18.700020060613856,6.823453489746657,21.17895645178781,6.717383846864862,6.816032925422328,19.33870771604783
1,16.290641705964205,6.757437946903654,6.868868036525526,6.801249576930838,6.803467116164321,18.181709748313768,6.657442512932809,6.882752137367029,15.331286417694384,17.57774083833019,16.290867374074587,6.717480648922357,6.878239742815371,17.924067983433375
2,16.689680729184683,6.625519930278151,18.596939259575993,6.621983360794571,6.6915762362323825,10.516842143154454,16.637517149312757,19.193696700144617,6.734771040657889,6.586198295790505,6.810665341161618,6.709369641335205,17.58101366401244,6.644621351871111
3,15.473292292537959,6.611758249928014,17.031828294732893,6.5686532907937005,6.605979380095306,6.706856169933876,14.854095029846746,6.7081505694664365,6.576809103314512,6.629151942984915,6.714611776436956,6.720342704968117,6.601396609423229,6.430927465384501
4,6.546673152322325,6.6113629446341955,6.568664076038892,6.560536065601314,13.368604322751414,6.631352048997878,6.484734717564516,15.445456943891637,6.530304532942273,17.8682365760278,6.543329338310717,6.601545977847143,6.5097340032345885,6.357552640762522
5,24.63523368426844,6.6801978234986885,6.430733069944151,14.515348692406295,6.444104593848417,6.532030554149544,6.360057228164174,6.531704547248879,6.484766656715073,6.584150206340393,6.519242803196575,6.616300759444213,6.476516976528362,6.351340422224625
6,6.465917809663133,6.439828632028703,6.353917246147915,6.4513308658111805,6.382815214354565,6.411656283233545,6.3169678280759705,6.336473879299804,6.463133730948041,14.358273116737328,6.56861590700242,6.594676520280001,6.524108170408613,6.346250148784874
7,6.408549958149009,6.258851677349667,6.301795565696277,6.321400839003,6.372739307160173,6.361209044482255,6.282121712050325,6.285686441554949,6.359483937769283,6.324421583483809,6.5333725892515915,6.442303296419388,6.546401677265333,6.338871169242169
8,6.2994266643988155,6.23709408697453,6.290133603556007,6.256747544779794,6.272743934114277,6.292553234207264,6.278250918845713,6.268485035328647,6.274593102878556,6.247360979395014,6.385692071230284,6.352793481138289,6.398986357781912,6.287867497859178
9,6.2585396996979945,6.2212354669752745,6.281963045684019,6.2726007272442095,6.28766393509648,6.297818019226223,6.280650630918094,6.263158163239189,6.239991192045352,6.283387951652076,6.310485965220146,6.256518056029256,6.305094147555923,6.247562402949216
10,6.263493018142367,6.2077158224183515,6.255174152989784,6.28292947384202,6.273044487087576,6.305058168066958,6.284342690202714,6.248139439630507,6.236598372602007,6.280105309427747,6.296680045315384,6.250806295861595,6.259955254201841,6.247280391976843
11,6.261757458893298,6.190676862911908,6.212237202023064,6.27233758224322,6.244199186938665,6.301100642475473,6.276720868513754,6.230080516007844,6.223943287747778,6.241784140573236,6.2498349674017435,6.2488656748164555,6.231712221166851,6.239936174914592
12,6.230616727335291,6.172970029619935,6.166041105953843,6.221965554010504,6.212633539094579,6.264379997015716,6.235513484659466,6.200893483332294,6.230207495790422,6.174396368949339,6.173745194514347,6.245880762927467,6.211824783650256,6.231761240391085
13,6.193405377551886,6.152896995363295,6.089691061879619,6.148212762849426,6.195355173599234,6.19351215450627,6.135149672275562,6.140469641586626,6.228626693536937,6.106651228875509,6.07810334824697,6.232947163236211,6.185373918042527,6.199584923254256
14,6.1339269312111995,6.132618895677505,6.051308102346566,6.054231704977813,6.137846896030968,6.042175026993892,6.04323624252091,6.081682080710099,6.230489821326314,6.038109998904422,6.032763659389394,6.200095568515353,6.145338400734086,6.115781333306886
15,6.049495801364025,6.1034334943903295,6.037300733398708,6.033725417353623,6.07897371379969,6.047415495995889,6.039992560537036,6.0397193796796405,6.179565389502385,6.035810763023443,6.037810585865174,6.151815340663481,6.067567481043869,6.040850154751183
16,6.041838740321291,6.038736586574168,6.0275062551511445,6.034839472616319,6.042402790170459,6.048091012684501,6.042420161194992,6.038861370103784,6.094397495840851,6.035704287648169,6.0347425496370635,6.08246856093982,6.03515504492473,6.040975310604231
17,6.036585097440644,6.030749721699882,6.022172081837553,6.035458846604787,6.04516735100114,6.030404868406194,6.0439351024651895,6.032324529701785,6.0584925357481305,6.037830162848624,6.032379379038831,6.034063316366462,6.032189184598151,6.040563007188298
18,6.0320735994703405,6.023195368496354,6.017442257636819,6.0386598909274065,6.040275663585817,6.017809795896795,6.03985910610879,6.03184088558885,6.064224651095338,6.0333617791209715,6.030260659138822,6.031736201333166,6.02693088971801,6.031699590609276
19,6.026175661475344,6.012710339255409,6.013535465257425,6.021182682725535,6.029501648196126,6.007116264970477,6.031419047221364,6.027008908148005,6.056981258678392,6.023794565571502,6.02223509054454,6.0261155045139425,6.026866843203466,6.024153034567314
20,6.0219173447531045,6.002556426110213,6.00841574075793,6.011252343100728,6.017501783473944,5.999542313144925,6.019559845684186,6.023841181460692,6.02373956410057,6.0146184533952125,6.013416455947509,6.020374297788453,6.02155017780082,6.020587961644242
