,pob_x,pob_y,pob_x_best,pob_y_best
0,"[2.98186e+01 2.12325e+01 8.79360e+00 ... 2.42000e-02 1.38000e-02
 3.65000e-02]",912.358427452169,"[2.98186e+01 2.12325e+01 8.79360e+00 ... 2.42000e-02 1.38000e-02
 3.65000e-02]",912.358427452169
1,"[2.8437700e+01 2.0625299e+01 9.7953005e+00 ... 2.6899999e-02 1.9500000e-02
 3.3000000e-02]",970.9157932143385,"[2.98186e+01 2.12325e+01 8.79360e+00 ... 2.42000e-02 1.38000e-02
 3.65000e-02]",912.358427452169
2,[22.4743   15.924899 15.2473   ...  0.0313    0.0303    0.0374  ],43185427.244961195,"[2.98186e+01 2.12325e+01 8.79360e+00 ... 2.42000e-02 1.38000e-02
 3.65000e-02]",912.358427452169
3,[17.123001  9.477799 21.8469   ...  0.0337    0.045     0.0463  ],736.1225473522569,[17.123001  9.477799 21.8469   ...  0.0337    0.045     0.0463  ],736.1225473522569
4,[13.493301   3.0344994 27.7893    ...  0.0355     0.05       0.05     ],671.6477377022863,[13.493301   3.0344994 27.7893    ...  0.0355     0.05       0.05     ],671.6477377022863
5,"[1.0271602e+01 1.0000000e-03 3.0000000e+01 ... 3.6800001e-02 5.0000001e-02
 5.0000001e-02]",649.7040662523522,"[1.0271602e+01 1.0000000e-03 3.0000000e+01 ... 3.6800001e-02 5.0000001e-02
 5.0000001e-02]",649.7040662523522
6,[10.2153015  8.4708    27.6563    ...  0.029      0.05       0.05     ],681.3718350369426,"[1.0271602e+01 1.0000000e-03 3.0000000e+01 ... 3.6800001e-02 5.0000001e-02
 5.0000001e-02]",649.7040662523522
7,"[1.05987015e+01 1.63553009e+01 2.49716988e+01 ... 2.17000004e-02
 5.00000007e-02 5.00000007e-02]",696.7325890643999,"[1.0271602e+01 1.0000000e-03 3.0000000e+01 ... 3.6800001e-02 5.0000001e-02
 5.0000001e-02]",649.7040662523522
8,"[1.01226015e+01 2.20311012e+01 2.26553993e+01 ... 1.51000004e-02
 5.00000007e-02 5.00000007e-02]",601.2352914175308,"[1.01226015e+01 2.20311012e+01 2.26553993e+01 ... 1.51000004e-02
 5.00000007e-02 5.00000007e-02]",601.2352914175308
9,"[7.1875014e+00 2.9176001e+01 1.9713400e+01 ... 6.6000004e-03 5.0000001e-02
 5.0000001e-02]",547.353117717411,"[7.1875014e+00 2.9176001e+01 1.9713400e+01 ... 6.6000004e-03 5.0000001e-02
 5.0000001e-02]",547.353117717411
10,"[2.0322015e+00 3.0000000e+01 1.4486600e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",523.1955287826966,"[2.0322015e+00 3.0000000e+01 1.4486600e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",523.1955287826966
11,[1.0000e-03 3.0000e+01 6.1978e+00 ... 5.0000e-03 5.0000e-02 5.0000e-02],508.62561790091206,[1.0000e-03 3.0000e+01 6.1978e+00 ... 5.0000e-03 5.0000e-02 5.0000e-02],508.62561790091206
12,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],498.61027752873656,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],498.61027752873656
13,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],485.59450221226126,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],485.59450221226126
14,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],466.53749898545203,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],466.53749898545203
15,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],431.6294566951723,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],431.6294566951723
16,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],417.86359224529997,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],417.86359224529997
17,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],416.62610321206466,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],416.62610321206466
18,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],414.44111001041955,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],414.44111001041955
19,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],414.41456735183124,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],414.41456735183124
20,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],412.21711050690743,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],412.21711050690743
21,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],409.2853038827557,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],409.2853038827557
22,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],407.20905824170603,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],407.20905824170603
23,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],406.2646800697846,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],406.2646800697846
24,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],403.79029702108875,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],403.79029702108875
25,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],401.69198275101536,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],401.69198275101536
26,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],400.1888725655738,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],400.1888725655738
27,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],398.74254203268737,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],398.74254203268737
28,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.9966116891433,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.9966116891433
29,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.38778079025286,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.38778079025286
30,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.0952802167464,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],396.0952802167464
31,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.79254691385086,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.79254691385086
32,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.7241517722737,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.7241517722737
33,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.7536774042577,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.7241517722737
34,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.3798098806601,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.3798098806601
35,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.35705424971843,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.35705424971843
36,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.0748058597295,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.0748058597295
37,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.294661786601,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.0748058597295
38,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.30475072315534,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],395.0748058597295
39,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],394.86910480611584,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],394.86910480611584
