,pob_x,pob_y,pob_x_best,pob_y_best
0,"[1.18069e+01 2.91530e+01 3.06580e+00 ... 2.18000e-02 2.94000e-02
 1.15000e-02]",2200605355.4589024,"[1.18069e+01 2.91530e+01 3.06580e+00 ... 2.18000e-02 2.94000e-02
 1.15000e-02]",2200605355.4589024
1,"[1.25310e+01 2.53522e+01 6.78030e+00 ... 2.43000e-02 3.13000e-02
 1.87000e-02]",900.9656352143062,"[1.25310e+01 2.53522e+01 6.78030e+00 ... 2.43000e-02 3.13000e-02
 1.87000e-02]",900.9656352143062
2,[13.2398 21.6316 10.4165 ...  0.0267  0.0332  0.0258],805.591053723136,[13.2398 21.6316 10.4165 ...  0.0267  0.0332  0.0258],805.591053723136
3,[19.1031 10.2048 20.4713 ...  0.0302  0.0431  0.0483],739.5037699395311,[19.1031 10.2048 20.4713 ...  0.0302  0.0431  0.0483],739.5037699395311
4,"[2.4345699e+01 1.9996520e-03 2.9446800e+01 ... 3.3299997e-02 5.0000001e-02
 5.0000001e-02]",639603.8777846977,[19.1031 10.2048 20.4713 ...  0.0302  0.0431  0.0483],739.5037699395311
5,[20.685299   4.7493997 29.6441    ...  0.03       0.05       0.05     ],628.9832292896555,[20.685299   4.7493997 29.6441    ...  0.03       0.05       0.05     ],628.9832292896555
6,"[1.3712099e+01 1.7232800e+01 2.5402100e+01 ... 2.1599997e-02 5.0000001e-02
 5.0000001e-02]",591.5908205204186,"[1.3712099e+01 1.7232800e+01 2.5402100e+01 ... 2.1599997e-02 5.0000001e-02
 5.0000001e-02]",591.5908205204186
7,"[7.5263991e+00 2.8373999e+01 2.1591000e+01 ... 1.4099997e-02 5.0000001e-02
 5.0000001e-02]",585.6599360138632,"[7.5263991e+00 2.8373999e+01 2.1591000e+01 ... 1.4099997e-02 5.0000001e-02
 5.0000001e-02]",585.6599360138632
8,"[2.8945992e+00 3.0000000e+01 1.6791700e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",529.929476303582,"[2.8945992e+00 3.0000000e+01 1.6791700e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",529.929476303582
9,"[1.00000e-03 3.00000e+01 1.25674e+01 ... 5.00000e-03 5.00000e-02
 5.00000e-02]",537.8953019036334,"[2.8945992e+00 3.0000000e+01 1.6791700e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",529.929476303582
10,[1.0000e-03 3.0000e+01 1.1316e+01 ... 5.0000e-03 5.0000e-02 5.0000e-02],530.0887721205404,"[2.8945992e+00 3.0000000e+01 1.6791700e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",529.929476303582
11,[1.0000e-03 3.0000e+01 1.0924e+01 ... 5.0000e-03 5.0000e-02 5.0000e-02],515.0166277000097,[1.0000e-03 3.0000e+01 1.0924e+01 ... 5.0000e-03 5.0000e-02 5.0000e-02],515.0166277000097
12,[1.0000e-03 3.0000e+01 9.9131e+00 ... 5.0000e-03 5.0000e-02 5.0000e-02],499.0136944160965,[1.0000e-03 3.0000e+01 9.9131e+00 ... 5.0000e-03 5.0000e-02 5.0000e-02],499.0136944160965
13,"[1.0000000e-03 3.0000000e+01 3.9742002e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",490.4656145035853,"[1.0000000e-03 3.0000000e+01 3.9742002e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",490.4656145035853
14,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],463.0554901453688,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],463.0554901453688
15,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],436.5809077614253,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],436.5809077614253
16,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],420.9031628202902,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],420.9031628202902
17,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],422.0683851395949,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],420.9031628202902
