,pob_x,pob_y,pob_x_best,pob_y_best
0,"[2.27840e+00 1.07281e+01 2.50072e+01 ... 4.74000e-02 2.34000e-02
 4.24000e-02]",919.1538235044619,"[2.27840e+00 1.07281e+01 2.50072e+01 ... 4.74000e-02 2.34000e-02
 4.24000e-02]",919.1538235044619
1,[12.0081 10.0623 22.7598 ...  0.0378  0.0349  0.0466],43044319.90539207,"[2.27840e+00 1.07281e+01 2.50072e+01 ... 4.74000e-02 2.34000e-02
 4.24000e-02]",919.1538235044619
2,[21.113699  9.439199 20.6565   ...  0.0288    0.0456    0.05    ],725.0193149357602,[21.113699  9.439199 20.6565   ...  0.0288    0.0456    0.05    ],725.0193149357602
3,"[2.9263699e+01 8.8814993e+00 1.8773899e+01 ... 2.0700004e-02 5.0000001e-02
 5.0000001e-02]",756.8400548870641,[21.113699  9.439199 20.6565   ...  0.0288    0.0456    0.05    ],725.0193149357602
4,"[3.0000000e+01 8.5825996e+00 1.8376799e+01 ... 1.8900003e-02 5.0000001e-02
 5.0000001e-02]",57554137.00933212,[21.113699  9.439199 20.6565   ...  0.0288    0.0456    0.05    ],725.0193149357602
5,"[2.4500700e+01 9.9377995e+00 1.9743698e+01 ... 2.4000004e-02 5.0000001e-02
 5.0000001e-02]",723.5359300966579,"[2.4500700e+01 9.9377995e+00 1.9743698e+01 ... 2.4000004e-02 5.0000001e-02
 5.0000001e-02]",723.5359300966579
6,[18.7628   12.015499 21.025799 ...  0.0281    0.05      0.05    ],1720753.9860819269,"[2.4500700e+01 9.9377995e+00 1.9743698e+01 ... 2.4000004e-02 5.0000001e-02
 5.0000001e-02]",723.5359300966579
7,"[7.3958001e+00 2.7366600e+01 2.0797298e+01 ... 1.2300004e-02 5.0000001e-02
 5.0000001e-02]",558.0349436692882,"[7.3958001e+00 2.7366600e+01 2.0797298e+01 ... 1.2300004e-02 5.0000001e-02
 5.0000001e-02]",558.0349436692882
8,"[1.0000000e-03 3.0000000e+01 1.9876799e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",516.6475803966227,"[1.0000000e-03 3.0000000e+01 1.9876799e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",516.6475803966227
9,"[1.0000000e-03 3.0000000e+01 1.4400498e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",535.6001809444878,"[1.0000000e-03 3.0000000e+01 1.9876799e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",516.6475803966227
10,"[1.0000000e-03 3.0000000e+01 1.2485099e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",533.844879764269,"[1.0000000e-03 3.0000000e+01 1.9876799e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",516.6475803966227
11,"[1.000000e-03 3.000000e+01 8.321799e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",513.7743393609154,"[1.000000e-03 3.000000e+01 8.321799e+00 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",513.7743393609154
12,"[1.0000000e-03 3.0000000e+01 2.0230992e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",480.2930166225611,"[1.0000000e-03 3.0000000e+01 2.0230992e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",480.2930166225611
13,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],448.83315617524516,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],448.83315617524516
14,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],419.10018606929145,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],419.10018606929145
15,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],418.13768281878225,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],418.13768281878225
16,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],418.09316382221834,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],418.09316382221834
17,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],418.9829231342016,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],418.09316382221834
18,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],417.1149232365873,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],417.1149232365873
19,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],413.1433245515327,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],413.1433245515327
20,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],409.36961552836806,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],409.36961552836806
21,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],406.1516408936372,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],406.1516408936372
