,pob_x,pob_y,pob_x_best,pob_y_best
0,[9.6939e+00 2.7273e+01 6.7950e+00 ... 3.0300e-02 9.6000e-03 3.2600e-02],9901139.01199986,[9.6939e+00 2.7273e+01 6.7950e+00 ... 3.0300e-02 9.6000e-03 3.2600e-02],9901139.01199986
1,[12.4827 18.8766 14.0903 ...  0.0323  0.0237  0.0401],860.4348895058431,[12.4827 18.8766 14.0903 ...  0.0323  0.0237  0.0401],860.4348895058431
2,[17.1172  4.9235 26.2136 ...  0.0356  0.0472  0.05  ],754.0961880865817,[17.1172  4.9235 26.2136 ...  0.0356  0.0472  0.05  ],754.0961880865817
3,"[2.2817501e+01 1.0000000e-03 3.0000000e+01 ... 3.5999998e-02 5.0000001e-02
 5.0000001e-02]",743.789637775655,"[2.2817501e+01 1.0000000e-03 3.0000000e+01 ... 3.5999998e-02 5.0000001e-02
 5.0000001e-02]",743.789637775655
4,"[2.7833601e+01 1.0000000e-03 3.0000000e+01 ... 3.6300000e-02 5.0000001e-02
 5.0000001e-02]",743.4956719013157,"[2.7833601e+01 1.0000000e-03 3.0000000e+01 ... 3.6300000e-02 5.0000001e-02
 5.0000001e-02]",743.4956719013157
5,[3.0e+01 1.0e-03 3.0e+01 ... 3.5e-02 5.0e-02 5.0e-02],796.4766582313749,"[2.7833601e+01 1.0000000e-03 3.0000000e+01 ... 3.6300000e-02 5.0000001e-02
 5.0000001e-02]",743.4956719013157
6,"[1.82487e+01 1.49664e+01 2.71933e+01 ... 1.66000e-02 5.00000e-02
 5.00000e-02]",626.2994629463116,"[1.82487e+01 1.49664e+01 2.71933e+01 ... 1.66000e-02 5.00000e-02
 5.00000e-02]",626.2994629463116
7,"[7.9309916e-01 3.0000000e+01 1.9306301e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",522.6184607859796,"[7.9309916e-01 3.0000000e+01 1.9306301e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",522.6184607859796
8,"[1.0000000e-03 3.0000000e+01 1.2344701e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",511.37035199310367,"[1.0000000e-03 3.0000000e+01 1.2344701e+01 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",511.37035199310367
9,"[1.0000000e-03 3.0000000e+01 6.2171006e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",503.32468907755106,"[1.0000000e-03 3.0000000e+01 6.2171006e+00 ... 4.9999999e-03 5.0000001e-02
 5.0000001e-02]",503.32468907755106
10,"[1.000000e-03 3.000000e+01 8.388006e-01 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",496.56571062823747,"[1.000000e-03 3.000000e+01 8.388006e-01 ... 5.000000e-03 5.000000e-02
 5.000000e-02]",496.56571062823747
11,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],488.17642292741056,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],488.17642292741056
12,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],479.6084441357053,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],479.6084441357053
13,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],470.07722765392333,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],470.07722765392333
14,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],460.64095297930083,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],460.64095297930083
15,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],447.39125132810494,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],447.39125132810494
16,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],419.362871367361,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],419.362871367361
17,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],416.0268168227816,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],416.0268168227816
18,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],412.89584443193087,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],412.89584443193087
19,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],408.5892363396278,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],408.5892363396278
20,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],404.46144878511404,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],404.46144878511404
21,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],402.1111458635853,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],402.1111458635853
22,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],401.94333535536094,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],401.94333535536094
23,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],401.2361044908568,[1.e-03 3.e+01 1.e-03 ... 5.e-03 5.e-02 5.e-02],401.2361044908568
