,y_E3_vm_2,y_E3_vm_3,y_E3_vm_4,y_E3_vm_5,y_E3_vm_6,y_E3_vm_7,y_E3_vm_8,y_E3_vm_9,y_E3_vm_10,y_E3_vm_11,y_E3_vm_12,y_E3_vm_13,y_E3_vm_14,y_E3_vm_15,y_E3_vm_16
0,7.428368992239755,21.74344406454295,16.675950476331185,7.196320660086914,20.82994743475425,7.310287348795959,17.26914917726987,19.254174060822567,19.004542215372275,7.290098884738125,21.449200750230343,21.495274308398567,19.647497584742847,19.209116452230038,12.60152791608424
1,7.255991375340519,7.305248533292454,7.250934556958124,7.187670261012257,18.59323851402468,14.110043498310453,7.443838954292885,7.330145722539644,7.335471161730547,7.290080619175037,7.405575332626894,7.398940019135595,17.67167522387873,13.425573158008024,7.242920715547128
2,7.094641283136721,7.173835915064509,7.070235252672101,7.188064350534974,7.403424264659774,7.206519092765743,7.35986923983954,7.029169124879519,7.233121856887011,7.231832334651313,7.094036209565489,7.228144403212036,7.252854282032,16.154613707456548,7.2266741043802964
3,6.954212089703963,7.059920209183536,7.087212052923616,7.196341840783638,7.069466705834327,7.158824696712993,7.139335394240179,6.817200513336695,7.089988451095555,7.1655364746603745,6.927036328036454,7.133717219683123,7.043590038796501,7.326866090129198,17.111597512053795
4,14.73066661928094,6.816948703186667,6.962685837849489,7.1763402038839725,6.766487712222224,7.105672603304053,6.772083165060915,6.736459279143842,7.105260371053618,7.1295042856328,6.78349002588802,6.97828335681467,6.89969990597491,7.196853689257392,7.124669177672257
5,6.795330768382319,6.711666616803403,6.861867560590896,7.035629258646702,6.653957695688493,6.996765683358635,6.6718370898669725,6.694210350534748,7.015711440882675,7.115755398291697,6.652144695324777,6.747875991810336,6.690224321362771,6.815312109124295,7.040112795894449
6,6.651699031358522,6.615740365505434,6.723128306962897,6.7465957375285095,6.629485798949477,6.8247617019465,6.588088336300241,6.656570338885138,6.882024827276101,7.09564237666923,6.642625675638932,6.637432383770826,6.594776112543801,6.760563622890353,6.908542129218872
7,6.623248964754649,6.572619459052321,6.654445306575549,6.656977661987421,6.609027205147017,6.641798796568034,6.584161583614123,6.614974907532182,6.680131568799081,6.999997249671169,6.627760326837902,6.5800991927870855,6.592786953064915,6.674323465911273,6.602777721540314
8,6.6119249559712765,,6.619998644296231,6.5832084515211395,6.5991953603725815,6.584108371288126,,6.5996508850783515,6.590660899100855,6.831215215742041,6.610205303281338,,6.5882653183892455,6.599920824201166,6.584124164124589
9,6.588067546885089,,6.600174686331614,,,,,6.597635235061962,6.593598929336243,6.606092920861632,6.589991804576317,,6.590452828001099,6.573930154762025,
